FDP_pd,Player_name,ID,Date,Team,Opp,H/A,GTime(ET),Team pts,Opp pts,Win-Lose,Start,Mins_played,GP,active,FDP,DoubleD,TripleD,FD Sal,FD pos,ADI,VMI,pt,rb,as,st,bl,to,trey,FGM,FGA,FTM,FTA,Difference,ranking
1.78,Tariq_Owens,5926,20200202,pho,mil,0,14.0,108.0,129.0,0,0.0,7.05,1.0,1.0,4.4,0.0,0.0,3500.0,5.0,62.28,0.98,2,2,0,0,0,0,0,1,4,0,0,-2.62,benchPlayer
8.9,Bam_Adebayo,5159,20200201,mia,orl,0,19.0,102.0,89.0,1,1.0,38.16666667,1.0,1.0,47.3,0.0,0.0,8000.0,4.0,66.25,0.25,4,14,5,3,4,2,0,1,8,2,4,-38.4,top
6.26,Mikal_Bridges,5712,20200202,pho,mil,0,14.0,108.0,129.0,0,1.0,30.81666667,1.0,1.0,24.3,0.0,0.0,4800.0,3.0,62.28,0.98,7,4,1,2,2,1,0,2,9,3,4,-18.04,average
9.67,Davis_Bertans,4989,20200201,was,bkn,1,20.0,113.0,107.0,1,0.0,30.18333333,1.0,1.0,28.9,0.0,0.0,5300.0,4.0,65.7,0.86,11,7,3,1,1,1,3,3,7,2,2,-19.229999999999997,average
0.0,Matthew_Mooney,5840,20200128,cle,nor,1,19.5,111.0,125.0,0,0.0,1.6333333330000002,1.0,1.0,0.0,0.0,0.0,3500.0,1.0,64.38,-0.36,0,0,0,0,0,0,0,0,0,0,0,0.0,benchPlayer
6.71,Kelly_Olynyk,4583,20200127,mia,orl,1,19.5,113.0,92.0,1,0.0,24.76666667,1.0,1.0,23.6,0.0,0.0,3700.0,5.0,66.34,0.32,8,3,2,0,3,0,0,2,6,4,5,-16.89,average
16.34,Bruce_Brown,5738,20200202,det,den,1,12.5,128.0,123.0,1,0.0,37.95,1.0,1.0,43.0,1.0,0.0,4300.0,2.0,61.82,1.91,19,10,8,0,0,0,3,7,10,2,2,-26.66,top
0.58,Courtney_Lee,4110,20200114,dal,gsw,0,22.5,124.0,97.0,1,0.0,8.2,1.0,1.0,2.4,0.0,0.0,3500.0,2.0,67.62,-3.63,0,2,0,0,0,0,0,0,1,0,0,-1.8199999999999998,benchPlayer
2.34,Shaquille_Harrison,5249,20200202,chi,tor,0,15.0,102.0,129.0,0,0.0,4.433333333,1.0,1.0,10.9,0.0,0.0,3500.0,1.0,63.1,2.65,2,2,1,2,0,1,0,0,2,2,2,-8.56,belowAvg
6.99,Eric_Gordon,4077,20200202,hou,nor,1,14.0,117.0,109.0,1,1.0,33.15,1.0,1.0,25.2,0.0,0.0,4900.0,3.0,66.62,0.19,9,1,2,4,0,0,1,4,12,0,0,-18.21,average
16.45,Nikola_Vucevic,4373,20200201,orl,mia,1,19.0,89.0,102.0,0,1.0,34.16666667,1.0,1.0,42.8,0.0,0.0,8100.0,5.0,66.25,0.0,21,9,4,0,2,1,1,0,0,0,0,-26.349999999999998,top
0.6,Khyri_Thomas,5757,20191106,det,nyk,1,19.0,122.0,102.0,1,0.0,3.716666667,1.0,1.0,1.0,0.0,0.0,3500.0,2.0,65.38,0.27,1,0,0,0,0,0,0,0,0,1,2,-0.4,benchPlayer
0.0,Gabe_Vincent,5959,20200127,mia,orl,1,19.5,113.0,92.0,1,0.0,1.2,1.0,1.0,0.0,0.0,0.0,3500.0,1.0,66.34,0.32,0,0,0,0,0,0,0,0,1,0,0,0.0,benchPlayer
10.9,Shai_Gilgeous-Alexander,5690,20200131,okc,pho,0,21.0,111.0,107.0,1,1.0,34.0,1.0,1.0,30.8,0.0,0.0,7700.0,2.0,63.28,1.15,12,9,4,0,1,1,0,5,16,2,2,-19.9,advanced
9.37,Nerlens_Noel,4652,20200131,okc,pho,0,21.0,111.0,107.0,1,0.0,25.15,1.0,1.0,31.9,0.0,0.0,4400.0,4.0,63.28,1.15,10,7,3,2,1,0,0,5,7,0,0,-22.53,advanced
1.67,Marco_Belinelli,3974,20200201,sas,cha,1,21.0,114.0,90.0,1,0.0,15.0,1.0,1.0,6.7,0.0,0.0,3500.0,2.0,64.93,-0.36,1,1,3,0,0,0,0,0,2,1,2,-5.03,benchPlayer
1.97,Kevin_Knox,5705,20200201,nyk,ind,0,19.0,92.0,85.0,1,0.0,13.56666667,1.0,1.0,4.6,0.0,0.0,3500.0,3.0,63.6,2.37,2,3,0,0,0,1,0,1,7,0,0,-2.63,benchPlayer
14.45,Glenn_Robinson_III,4702,20200201,gsw,cle,0,20.0,131.0,112.0,1,1.0,25.83333333,1.0,1.0,36.7,0.0,0.0,4200.0,3.0,63.19,4.07,22,1,1,3,1,0,3,9,13,1,2,-22.250000000000004,advanced
4.95,Mitchell_Robinson,5700,20200201,nyk,ind,0,19.0,92.0,85.0,1,0.0,19.35,1.0,1.0,15.4,0.0,0.0,5400.0,5.0,63.6,2.37,4,7,2,0,0,0,0,2,2,0,0,-10.45,belowAvg
6.59,Luke_Kornet,5240,20200202,chi,tor,0,15.0,102.0,129.0,0,1.0,23.01666667,1.0,1.0,17.5,0.0,0.0,4600.0,4.0,63.1,2.65,8,5,1,1,0,1,1,3,11,1,2,-10.91,belowAvg
1.48,Jordan_Bell,5125,20200201,min,lac,0,15.5,106.0,118.0,0,0.0,4.45,1.0,1.0,3.2,0.0,0.0,3500.0,4.0,66.94,-3.38,2,1,0,0,0,0,0,1,2,0,0,-1.7200000000000002,benchPlayer
18.79,Khris_Middleton,4490,20200202,mil,pho,1,14.0,129.0,108.0,1,1.0,32.9,1.0,1.0,44.6,0.0,0.0,7200.0,2.0,62.28,1.4,25,8,6,0,1,2,3,9,15,4,4,-25.810000000000002,top
0.0,Mike_Muscala,4659,20200129,okc,sac,0,22.0,120.0,100.0,1,0.0,1.516666667,1.0,1.0,0.0,0.0,0.0,3600.0,4.0,66.71,-3.69,0,0,0,0,0,0,0,0,0,0,0,0.0,benchPlayer
11.06,Kyle_Lowry,3891,20200202,tor,chi,1,15.0,129.0,102.0,1,1.0,29.51666667,1.0,1.0,28.8,0.0,0.0,7000.0,1.0,63.1,1.34,14,4,6,0,1,2,3,3,7,5,6,-17.740000000000002,average
1.59,Oshae_Brissett,5900,20200202,tor,chi,1,15.0,129.0,102.0,1,0.0,3.2,1.0,1.0,5.2,0.0,0.0,3500.0,3.0,63.1,1.34,2,1,0,1,0,1,0,1,1,0,0,-3.6100000000000003,benchPlayer
1.48,Johnathan_Motley,5192,20200126,lac,orl,0,18.0,112.0,97.0,1,0.0,1.516666667,1.0,1.0,3.2,0.0,0.0,3500.0,4.0,66.52,-0.83,2,1,0,0,0,0,0,1,1,0,0,-1.7200000000000002,benchPlayer
8.41,Malik_Monk,5133,20200201,cha,sas,0,21.0,90.0,114.0,0,0.0,31.93333333,1.0,1.0,22.8,0.0,0.0,4000.0,2.0,64.93,0.64,11,4,2,0,2,2,1,4,12,2,2,-14.39,average
4.2,C.J._Miles,3783,20191126,was,den,0,21.0,104.0,117.0,0,0.0,21.28333333,1.0,1.0,15.2,0.0,0.0,3500.0,3.0,45.02,21.09,5,1,2,2,0,0,0,1,7,3,5,-11.0,belowAvg
9.61,Marquese_Chriss,4952,20200201,gsw,cle,0,20.0,131.0,112.0,1,1.0,24.91666667,1.0,1.0,36.9,0.0,0.0,4900.0,5.0,63.19,4.07,10,7,3,1,4,1,0,5,11,0,0,-27.29,advanced
3.07,Josh_Magette,4975,20200110,orl,pho,0,21.0,94.0,98.0,0,0.0,17.25,1.0,1.0,11.4,0.0,0.0,3500.0,1.0,63.01,4.33,3,2,2,0,1,0,1,1,5,0,0,-8.33,belowAvg
0.0,Bruno_Caboclo,4708,20200112,mem,gsw,1,18.0,122.0,102.0,1,0.0,2.233333333,1.0,1.0,0.0,0.0,0.0,3500.0,3.0,65.98,-0.4,0,0,0,0,0,0,0,0,1,0,0,0.0,benchPlayer
0.0,Jordan_Bone,5864,20200125,det,bkn,1,19.0,111.0,121.0,0,0.0,2.9,1.0,1.0,0.0,0.0,0.0,3500.0,1.0,63.24,0.44,0,0,0,0,0,0,0,0,2,0,0,0.0,benchPlayer
0.58,Dario_Saric,4904,20200131,pho,okc,1,21.0,107.0,111.0,0,0.0,4.1,1.0,1.0,2.4,0.0,0.0,3900.0,4.0,63.28,-0.02,0,2,0,0,0,0,0,0,0,0,0,-1.8199999999999998,benchPlayer
2.66,Chris_Silva,5913,20200128,mia,bos,1,20.0,101.0,109.0,0,0.0,10.2,1.0,1.0,16.0,0.0,0.0,3500.0,4.0,66.3,0.2,1,5,0,3,0,0,0,0,2,1,2,-13.34,belowAvg
14.83,Thaddeus_Young,4037,20200202,chi,tor,0,15.0,102.0,129.0,0,1.0,29.8,1.0,1.0,32.9,0.0,0.0,5200.0,4.0,63.1,2.65,21,7,1,2,0,4,3,9,12,0,1,-18.07,advanced
15.76,Will_Barton,4522,20200202,den,det,0,12.5,123.0,128.0,0,1.0,36.56666667,1.0,1.0,37.3,0.0,0.0,6000.0,3.0,61.82,-6.49,20,9,5,0,0,1,2,7,17,4,5,-21.54,advanced
8.69,Malik_Beasley,4999,20200202,den,det,0,12.5,123.0,128.0,0,0.0,24.01666667,1.0,1.0,22.2,0.0,0.0,3700.0,2.0,61.82,-6.49,12,1,4,1,0,0,2,5,9,0,0,-13.51,average
0.0,J.J._Redick,3861,20200202,nor,hou,0,14.0,109.0,117.0,0,0.0,14.31666667,1.0,1.0,0.0,0.0,0.0,4200.0,2.0,66.62,-0.37,0,0,0,0,0,0,0,0,3,0,0,0.0,benchPlayer
9.71,Tony_Snell,4571,20200202,det,den,1,12.5,128.0,123.0,1,1.0,36.96666667,1.0,1.0,22.4,0.0,0.0,3600.0,2.0,61.82,1.91,13,2,6,0,0,2,3,4,7,2,2,-12.689999999999998,average
