AS,Player_name,ID,Date,Team,Opp,H/A,GTime(ET),Team pts,Opp pts,Win-Lose,Start,Mins_played,GP,active,FDP,DoubleD,TripleD,FD Sal,FD pos,ADI,VMI,pt,rb,as,st,bl,to,trey,FGM,FGA,FTM,FTA,ranking
4.0,Kawhi_Leonard,4404,20200201,lac,min,1,15.5,118.0,106.0,1,1.0,23.56666667,1.0,1.0,43.2,0.0,0.0,10400.0,4.0,66.94,-0.42,31,6,4,0,0,1,4,9,21,9,10,top
-0.0,Caleb_Swanigan,5178,20200201,por,uta,1,22.5,124.0,107.0,1,0.0,12.98333333,1.0,1.0,8.2,0.0,0.0,3500.0,4.0,67.71,-0.36,0,6,0,0,1,2,0,0,0,0,0,benchPlayer
1.0,Michael_Porter,5698,20200131,den,mil,0,21.0,127.0,115.0,1,0.0,25.13333333,1.0,1.0,37.7,1.0,0.0,4800.0,4.0,64.88,-13.4,15,11,1,1,2,1,1,5,11,4,4,advanced
5.0,Kemba_Walker,4440,20200130,bos,gsw,1,20.0,119.0,104.0,1,1.0,31.0,1.0,1.0,29.3,0.0,0.0,7900.0,1.0,68.17,-0.94,13,4,5,2,0,2,2,5,13,1,2,average
2.0,John_Konchar,5839,20200131,mem,nor,0,20.0,111.0,139.0,0,0.0,8.333333332999999,1.0,1.0,6.2,0.0,0.0,3500.0,2.0,67.16,-1.3,2,1,2,0,0,0,0,1,2,0,0,benchPlayer
1.0,Mike_Scott,4488,20200201,phi,bos,0,20.5,95.0,116.0,0,0.0,17.33333333,1.0,1.0,12.5,0.0,0.0,3500.0,4.0,65.43,-0.31,6,5,1,0,0,1,0,2,6,2,2,belowAvg
-0.0,Nicolo_Melli,5889,20200202,nor,hou,0,14.0,109.0,117.0,0,0.0,12.15,1.0,1.0,11.8,0.0,0.0,3500.0,4.0,66.62,-0.37,2,4,0,1,1,1,0,1,4,0,0,belowAvg
-0.0,Dwight_Howard,3639,20200201,lal,sac,0,22.0,129.0,113.0,1,0.0,18.33333333,1.0,1.0,14.8,0.0,0.0,4700.0,5.0,67.12,-0.68,0,9,0,0,2,2,0,0,1,0,0,belowAvg
4.0,Elie_Okobo,5711,20200202,pho,mil,0,14.0,108.0,129.0,0,1.0,26.21666667,1.0,1.0,10.2,0.0,0.0,3500.0,2.0,62.28,0.98,2,1,4,1,0,2,0,1,4,0,0,belowAvg
8.0,D'Angelo_Russell,4799,20200201,gsw,cle,0,20.0,131.0,112.0,1,1.0,28.91666667,1.0,1.0,37.4,0.0,0.0,7600.0,2.0,63.19,4.07,19,7,8,0,0,2,6,6,14,1,2,advanced
6.0,Devin_Booker,4885,20200202,pho,mil,0,14.0,108.0,129.0,0,1.0,33.78333333,1.0,1.0,44.4,0.0,0.0,8900.0,2.0,62.28,0.98,32,7,6,0,0,5,2,9,15,0,0,top
3.0,Gary_Payton,4976,20200201,was,bkn,1,20.0,113.0,107.0,1,1.0,21.61666667,1.0,1.0,23.5,0.0,0.0,3500.0,2.0,65.7,0.86,4,5,3,3,0,0,0,2,7,0,1,average
-0.0,Kelan_Martin,5934,20200201,min,lac,0,15.5,106.0,118.0,0,0.0,15.58333333,1.0,1.0,11.8,0.0,0.0,3500.0,3.0,66.94,-3.38,7,4,0,1,0,3,0,1,5,5,5,belowAvg
4.0,Mike_Conley,3979,20200201,uta,por,0,22.5,107.0,124.0,0,1.0,30.01666667,1.0,1.0,31.8,0.0,0.0,3700.0,1.0,67.71,-15.62,22,4,4,0,0,1,4,9,20,0,0,advanced
