ID,Player_name,Date,Team,Opp,H/A,GTime(ET),Team pts,Opp pts,Win-Lose,Start,Mins_played,GP,active,FDP,DoubleD,TripleD,FD Sal,FD pos,ADI,VMI,pt,rb,as,st,bl,to,trey,FGM,FGA,FTM,FTA
3816,Louis_Williams,20200105,lac,nyk,1,15.5,135.0,132.0,1,0.0,35.03333333,1.0,1.0,40.9,0.0,0.0,5700.0,2.0,67.12,-0.27,32,2,9,0,0,7,6,9,18,8,8
3816,Louis_Williams,20200104,lac,mem,1,15.5,114.0,140.0,0,0.0,25.26666667,1.0,1.0,33.9,0.0,0.0,5700.0,2.0,67.3,-0.69,24,2,7,0,0,3,1,0,0,3,3
3816,Louis_Williams,20200102,lac,det,1,22.5,126.0,112.0,1,0.0,30.31666667,1.0,1.0,34.5,0.0,0.0,5200.0,2.0,66.11,0.14,22,5,5,1,0,4,3,7,16,5,5
3816,Louis_Williams,20191228,lac,uta,1,22.5,107.0,120.0,0,0.0,32.51666667,1.0,1.0,41.3,0.0,0.0,4900.0,2.0,66.39,-0.63,16,4,9,2,1,2,1,5,14,5,5
3816,Louis_Williams,20191225,lac,lal,0,20.0,111.0,106.0,1,0.0,28.91666667,1.0,1.0,20.9,0.0,0.0,5100.0,2.0,65.38,-0.26,6,2,7,2,0,4,0,1,6,4,6
3816,Louis_Williams,20191222,lac,okc,0,19.0,112.0,118.0,0,1.0,36.06666667,1.0,1.0,32.1,0.0,0.0,5100.0,2.0,63.88,2.24,22,3,7,0,0,4,1,7,20,7,7
3816,Louis_Williams,20191221,lac,sas,0,20.5,134.0,109.0,1,0.0,23.76666667,1.0,1.0,32.0,0.0,0.0,5100.0,2.0,65.7,0.46,20,0,4,2,0,0,3,8,13,1,1
3816,Louis_Williams,20191219,lac,hou,1,22.5,117.0,122.0,0,0.0,17.33333333,1.0,1.0,16.7,0.0,0.0,5500.0,2.0,66.62,-0.46,6,1,3,2,0,1,0,2,5,2,2
3816,Louis_Williams,20191217,lac,pho,1,22.5,120.0,99.0,1,0.0,22.9,1.0,1.0,28.4,0.0,0.0,6100.0,2.0,66.57,-1.45,20,2,8,0,0,6,5,7,13,1,2
3816,Louis_Williams,20191211,lac,tor,0,19.0,112.0,92.0,1,0.0,32.43333333,1.0,1.0,37.2,0.0,0.0,6000.0,2.0,67.67,-2.58,18,6,8,1,0,3,3,7,12,1,3
3816,Louis_Williams,20191209,lac,ind,0,19.0,110.0,99.0,1,0.0,32.53333333,1.0,1.0,18.2,0.0,0.0,6800.0,2.0,62.1,4.79,6,1,6,0,1,1,0,2,19,2,2
3816,Louis_Williams,20191208,lac,was,0,18.0,135.0,119.0,1,0.0,29.81666667,1.0,1.0,27.2,0.0,0.0,6800.0,2.0,68.12,-2.06,18,1,6,0,0,1,2,7,17,2,2
3816,Louis_Williams,20191206,lac,mil,0,20.5,91.0,119.0,0,0.0,23.23333333,1.0,1.0,11.7,0.0,0.0,6800.0,2.0,66.16,-0.37,11,1,3,0,0,5,1,5,13,0,0
3816,Louis_Williams,20191203,lac,por,1,22.0,117.0,97.0,1,0.0,25.25,1.0,1.0,24.3,0.0,0.0,7200.0,2.0,65.89,-0.1,9,4,7,1,0,3,0,4,14,1,1
3816,Louis_Williams,20191201,lac,was,1,22.5,150.0,125.0,1,0.0,23.28333333,1.0,1.0,31.2,0.0,0.0,7300.0,2.0,66.25,-0.83,22,1,8,0,0,4,2,6,10,8,9
3816,Louis_Williams,20191129,lac,sas,0,20.5,97.0,107.0,0,0.0,27.6,1.0,1.0,19.9,0.0,0.0,7600.0,2.0,63.56,1.59,7,2,7,1,0,3,1,2,10,2,2
3816,Louis_Williams,20191127,lac,mem,0,20.0,121.0,119.0,1,0.0,32.36666667,1.0,1.0,46.7,1.0,0.0,7700.0,2.0,66.52,-1.91,24,1,13,2,0,4,3,6,18,9,13
3816,Louis_Williams,20191126,lac,dal,0,20.5,114.0,99.0,1,0.0,33.48333333,1.0,1.0,32.2,0.0,0.0,7200.0,2.0,62.51,3.36,21,6,6,0,0,5,4,7,14,3,4
3816,Louis_Williams,20191124,lac,nor,1,21.0,134.0,109.0,1,0.0,24.93333333,1.0,1.0,26.6,0.0,0.0,6900.0,2.0,65.89,-0.02,19,3,4,0,0,2,2,6,11,5,7
3816,Louis_Williams,20191122,lac,hou,1,22.5,122.0,119.0,1,0.0,33.5,1.0,1.0,37.6,0.0,0.0,6900.0,2.0,66.39,-0.93,26,3,8,0,0,4,4,9,16,4,4
3816,Louis_Williams,20191120,lac,bos,1,22.0,107.0,104.0,1,0.0,36.66666667,1.0,1.0,31.4,0.0,0.0,6800.0,2.0,64.01,0.88,27,2,2,2,0,7,3,0,0,4,4
3816,Louis_Williams,20191118,lac,okc,1,22.5,90.0,88.0,1,0.0,32.35,1.0,1.0,26.7,0.0,0.0,7700.0,2.0,65.02,0.72,11,1,9,1,0,2,1,5,12,0,0
3816,Louis_Williams,20191116,lac,atl,1,22.5,150.0,101.0,1,0.0,22.65,1.0,1.0,38.2,0.0,0.0,7800.0,2.0,65.79,0.77,25,6,6,0,0,3,0,5,13,0,0
3816,Louis_Williams,20191114,lac,nor,0,20.0,127.0,132.0,0,1.0,36.68333333,1.0,1.0,50.9,0.0,0.0,7000.0,2.0,67.94,-1.69,31,2,9,2,0,2,1,0,0,8,10
3816,Louis_Williams,20191113,lac,hou,0,19.5,93.0,102.0,0,0.0,40.96666667,1.0,1.0,32.4,0.0,0.0,7000.0,2.0,66.66,-0.69,20,7,4,0,0,2,1,8,22,3,3
3816,Louis_Williams,20191111,lac,tor,1,22.5,98.0,88.0,1,0.0,35.76666667,1.0,1.0,32.8,0.0,0.0,7500.0,2.0,65.89,0.08,21,4,4,1,0,2,2,7,15,5,6
3816,Louis_Williams,20191107,lac,por,1,22.5,107.0,101.0,1,0.0,28.58333333,1.0,1.0,47.6,0.0,0.0,6700.0,2.0,66.16,-0.23,26,3,8,0,3,3,1,7,16,0,0
3816,Louis_Williams,20191106,lac,mil,1,22.0,124.0,129.0,0,1.0,39.26666667,1.0,1.0,51.7,1.0,0.0,6700.0,2.0,65.7,0.04,34,6,11,0,0,6,4,9,27,0,0
3816,Louis_Williams,20191103,lac,uta,1,21.0,105.0,94.0,1,0.0,32.11666667,1.0,1.0,26.5,0.0,0.0,7000.0,2.0,65.52,-1.3,17,5,3,0,0,1,1,6,18,4,6
3816,Louis_Williams,20191031,lac,sas,1,22.5,103.0,97.0,1,0.0,32.18333333,1.0,1.0,19.9,0.0,0.0,7400.0,2.0,66.07,-4.91,12,2,5,0,0,2,1,5,19,1,2
3816,Louis_Williams,20191030,lac,uta,0,22.0,96.0,110.0,0,1.0,27.51666667,1.0,1.0,28.6,0.0,0.0,7000.0,2.0,49.9,14.55,24,3,4,0,0,5,1,9,17,5,7
3816,Louis_Williams,20191028,lac,cha,1,22.5,111.0,96.0,1,0.0,28.98333333,1.0,1.0,33.8,0.0,0.0,7000.0,2.0,65.57,-1.12,23,4,4,1,0,3,2,7,17,7,9
3816,Louis_Williams,20191026,lac,pho,0,22.0,122.0,130.0,0,0.0,28.53333333,1.0,1.0,23.4,0.0,0.0,6900.0,2.0,61.09,5.15,23,2,2,0,0,5,3,7,17,6,9
3816,Louis_Williams,20191024,lac,gsw,0,22.5,141.0,122.0,1,0.0,29.4,1.0,1.0,40.6,0.0,0.0,6900.0,2.0,66.98,-1.4,22,3,8,1,0,0,1,5,11,0,0
3816,Louis_Williams,20191022,lac,lal,1,22.5,112.0,102.0,1,0.0,36.73333333,1.0,1.0,38.5,0.0,0.0,6200.0,2.0,65.7,-0.12,21,5,7,1,0,2,1,8,14,4,4
5837,Brandon_Clarke,20200129,mem,nyk,0,19.5,127.0,106.0,1,0.0,26.85,1.0,1.0,34.5,0.0,0.0,5200.0,4.0,66.98,-2.05,17,5,1,3,1,2,0,7,10,3,3
5837,Brandon_Clarke,20200128,mem,den,1,20.0,104.0,96.0,1,0.0,21.01666667,1.0,1.0,25.2,0.0,0.0,4700.0,4.0,65.25,-0.32,12,6,2,0,1,0,0,6,9,0,0
5837,Brandon_Clarke,20200126,mem,pho,1,18.0,114.0,109.0,1,0.0,23.18333333,1.0,1.0,26.4,0.0,0.0,4500.0,4.0,64.97,-0.1,10,7,0,2,1,1,0,4,9,2,2
5837,Brandon_Clarke,20200124,mem,det,0,19.0,125.0,112.0,1,0.0,25.15,1.0,1.0,35.7,1.0,0.0,4500.0,4.0,63.42,3.9,15,11,1,1,1,0,0,5,9,5,5
5837,Brandon_Clarke,20200122,mem,bos,0,19.5,95.0,119.0,0,0.0,23.08333333,1.0,1.0,13.4,0.0,0.0,4800.0,4.0,68.58,-2.12,9,2,2,0,0,1,1,4,6,0,0
