Player_Name,Team,Win,Start,Minutes,FDP,DoubleD,TripleD,FD_Sal,FD_pos,ADI,VMI,pt,rb,as,st,bl,to,trey,fg,FGM,FG%,ft,FTM,FT%,ranking
Markieff Morris,det,Lose,0,18.66666667,19.2,0,0,3900,3,64.97,0.32,9,6,0,0,1,0,1,7-Feb,2,0.285714286,6-Apr,4,0.666666667,Average
Marko Guduric,mem,Win,0,12.71666667,6.4,0,0,3500,2,66.98,-2.05,5,2,0,0,0,1,1,2-Jan,1,0.5,2-Feb,2,1,belowAVG
Marques Bolden,cle,Lose,0,2.816666667,5.4,0,0,3500,4,63.19,0.86,0,2,0,1,0,0,0,0,0,0,0,0,0,belowAVG
Marquese Chriss,gsw,Win,1,24.91666667,36.9,0,0,4900,5,63.19,4.07,10,7,3,1,4,1,0,11-May,5,0,0,0,0,Advanced
Marvin Bagley,sac,Lose,1,38.4,37,1,0,5100,4,66.89,-7.18,15,15,2,1,0,2,0,13-Jul,7,0.538461538,1-Jan,1,1,Advanced
Marvin Williams,cha,Lose,1,23.61666667,15.3,0,0,3600,4,64.93,0.64,4,4,1,0,2,1,0,5-Feb,2,0,0,0,0,Average
Mason Plumlee,den,Win,0,10.36666667,10.8,0,0,3900,5,66.57,-14.27,6,4,0,0,0,0,0,4-Mar,3,0,0,0,0,Average
Matisse Thybulle,phi,Lose,0,23.5,8,0,0,4100,3,65.43,-0.31,8,0,0,0,0,0,2,5-Mar,3,0,0,0,0,belowAVG
Matt Thomas,tor,Win,0,18.05,11.2,0,0,3500,2,63.1,1.34,7,1,2,0,0,0,1,6-Mar,3,0,0,0,0,Average
Matthew Dellavedova,cle,Lose,0,18.71666667,10.2,0,0,3500,1,64.38,-0.36,4,1,4,0,0,1,0,4-Feb,2,0,0,0,0,Average
Matthew Mooney,cle,Lose,0,1.633333333,0,0,0,3500,1,64.38,-0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,belowAVG
Maurice Harkless,lac,Win,1,15.91666667,3.4,0,0,3800,3,66.94,-0.42,2,2,0,0,0,1,0,1-Jan,1,0,0,0,0,belowAVG
Max Strus,chi,Lose,0,1.316666667,0,0,0,3500,3,66.07,-2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,belowAVG
Maxi Kleber,dal,Win,1,30.2,41.7,0,0,3900,4,65.02,0.14,18,6,1,1,4,0,4,9-Jun,6,0.666666667,2-Feb,2,1,Advanced
Melvin Frazier,orl,Lose,0,2.516666667,0,0,0,3500,3,66.34,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,belowAVG
Meyers Leonard,mia,Win,1,28.83333333,34.3,1,0,3500,5,66.25,0.25,18,14,1,0,0,2,4,14-Jul,7,0,0,0,0,Advanced
Mfiondu Kabengele,lac,Win,0,6.8,6.2,0,0,3500,3,65.7,0.46,5,1,0,0,0,0,1,3-Feb,2,0,0,0,0,belowAVG
Michael Carter-Williams,orl,Lose,0,21.9,19.3,0,0,3800,1,66.25,0,10,4,3,0,0,0,1,7-Mar,3,0.428571429,4-Mar,3,0.75,Average
Michael Frazier,hou,Win,0,20.15,6,0,0,0,4,48.72,8.12,6,0,0,0,0,0,1,3-Jan,1,0.333333333,4-Mar,3,0.75,belowAVG
Michael Kidd-Gilchrist,cha,Lose,0,8.35,4.7,0,0,3500,3,49.13,16.1,2,1,1,0,0,0,0,2-Jan,1,0,0,0,0,belowAVG
Michael Porter,den,Win,0,25.13333333,37.7,1,0,4800,4,64.88,-13.4,15,11,1,1,2,1,1,11-May,5,0.454545455,4-Apr,4,1,Advanced
Mikal Bridges,pho,Lose,1,30.81666667,24.3,0,0,4800,3,62.28,0.98,7,4,1,2,2,1,0,9-Feb,2,0.222222222,4-Mar,3,0.75,AboveAVG
