Player_Name,Team,Win,Start,Minutes,FDP,DoubleD,TripleD,FD_Sal,FD_pos,ADI,VMI,pt,rb,as,st,bl,to,trey,fg,FGM,FG%,ft,FTM,FT%,ranking
Tim Frazier,det,Lose,0,3.8,-1,0,0,3600,1,63.42,1.23,0,0,0,0,0,1,0,0-1,0,0,0,0,0,belowAVG
Tim Hardaway Jr.,dal,Win,1,26.91666667,9.7,0,0,4900,3,65.02,0.14,7,1,1,1,0,3,1,12-Mar,3,0,0,0,0,belowAVG
Timothe Luwawu,bkn,Win,0,2.766666667,4,0,0,3500,2,67.71,-0.55,4,0,0,0,0,0,0,1-Jan,1,1,2-Feb,2,1,belowAVG
TJ Leaf,ind,Lose,0,2.75,3.2,0,0,3500,4,48.03,9.86,2,1,0,0,0,0,0,1-Jan,1,0,0,0,0,belowAVG
Tobias Harris,phi,Lose,1,32.36666667,19.7,0,0,6800,3,65.43,-0.31,10,6,1,1,0,2,1,12-Apr,4,0.333333333,1-Jan,1,1,Average
Tomas Satoransky,chi,Lose,1,29.86666667,20.5,0,0,5400,1,63.1,2.65,8,5,5,0,0,1,2,11-Mar,3,0,0,0,0,AboveAVG
Tony Bradley,uta,Lose,0,10.45,4,0,0,3500,5,64.52,-14.37,4,0,0,0,0,0,0,3-Feb,2,0,0,0,0,belowAVG
Tony Snell,det,Win,1,36.96666667,22.4,0,0,3600,2,61.82,1.91,13,2,6,0,0,2,3,7-Apr,4,0.571428571,2-Feb,2,1,AboveAVG
Torrey Craig,den,Lose,1,18.95,11.6,0,0,3900,2,61.82,-6.49,5,3,0,0,1,0,1,3-Feb,2,0.666666667,0-1,0,0,Average
Trae Young,atl,Lose,1,26.3,16.7,0,0,9900,1,65.02,-1.05,12,6,1,0,0,4,1,13-Apr,4,0.307692308,4-Mar,3,0.75,Average
Tremont Waters,bos,Lose,0,16.65,15.1,0,0,3500,1,66.89,0.32,4,3,3,1,0,0,0,5-Jan,1,0.2,2-Feb,2,1,Average
Treveon Graham,atl,Lose,0,20.38333333,15.8,0,0,3500,2,65.02,-1.05,5,4,0,2,0,0,1,2-Jan,1,0.5,2-Feb,2,1,Average
Trevor Ariza,por,Win,1,26.28333333,16.4,0,0,4800,3,67.71,-0.36,6,7,2,0,0,1,0,6-Mar,3,0,0,0,0,Average
Trey Burke,phi,Lose,0,5.083333333,2,0,0,3500,1,65.43,-0.31,2,0,0,0,0,0,0,4-Jan,1,0,0,0,0,belowAVG
Trey Lyles,sas,Win,1,27.56666667,19,0,0,3700,4,64.93,-0.36,11,5,0,1,0,1,2,6-Apr,4,0.666666667,2-Jan,1,0.5,Average
Tristan Thompson,cle,Lose,1,26.31666667,27.7,0,0,4900,5,63.19,0.86,6,11,3,1,1,2,0,9-Mar,3,0,0,0,0,AboveAVG
Troy Brown Jr.,was,Win,0,26.81666667,14.6,0,0,5000,3,65.7,0.86,8,3,2,0,0,0,0,11-Apr,4,0.363636364,0-1,0,0,Average
Troy Daniels,lal,Win,0,5.8,-1,0,0,3500,2,67.12,-0.68,0,0,0,0,0,1,0,0-2,0,0,0,0,0,belowAVG
Ty Jerome,pho,Lose,0,18.85,19.8,0,0,3600,2,63.28,-0.02,9,4,4,0,0,0,1,7-Apr,4,0,0,0,0,Average
Tyler Cook,cle,Lose,0,1.633333333,4.4,0,0,3500,4,64.38,-0.36,2,2,0,0,0,0,0,1-Jan,1,0,0,0,0,belowAVG
Tyler Herro,mia,Win,0,26,26.6,0,0,4200,2,66.25,0.25,23,3,0,0,0,0,6,12-Jul,7,0.583333333,3-Mar,3,1,AboveAVG
Tyler Johnson,pho,Lose,0,9.7,2.7,0,0,3700,1,62.28,0.98,0,1,1,0,0,0,0,0-3,0,0,0,0,0,belowAVG
Tyrone Wallace,atl,Lose,0,3.95,2,0,0,3500,1,62.46,0.45,0,0,0,1,0,1,0,0-2,0,0,0,0,0,belowAVG
Tyson Chandler,hou,Lose,0,9.75,2.6,0,0,3500,5,67.03,-0.3,0,3,0,0,0,1,0,0,0,0,0,0,0,belowAVG
Tyus Jones,mem,Lose,0,21.25,20.7,0,0,3800,1,67.16,-1.3,10,1,3,2,0,1,0,9-May,5,0,0,0,0,AboveAVG
Udonis Haslem,mia,Win,0,5.816666667,4.2,0,0,3500,4,67.12,-0.49,3,1,0,0,0,0,0,0,0,0,4-Mar,3,0.75,belowAVG
Vic Law,orl,Lose,0,2.516666667,0,0,0,3500,3,66.34,0.03,0,0,0,0,0,0,0,0-1,0,0,0-2,0,0,belowAVG
Victor Oladipo,ind,Lose,0,22.25,12.9,0,0,5500,2,63.6,0.76,7,2,1,1,0,1,1,14-Feb,2,0.142857143,2-Feb,2,1,Average
Vince Carter,atl,Lose,0,24.35,19,0,0,3900,3,65.02,-1.05,10,5,0,0,1,0,0,12-Apr,4,0.333333333,2-Feb,2,1,Average
Vincent Poirier,bos,Win,0,5.566666667,4.6,0,0,3500,5,68.17,-0.94,2,3,0,0,0,1,0,0,0,0,2-Feb,2,1,belowAVG
Vlatko Cancar,den,Win,0,1.083333333,1.2,0,0,3500,3,67.3,-7.32,0,1,0,0,0,0,0,0-1,0,0,0,0,0,belowAVG
Wayne Ellington,nyk,Lose,0,8.166666667,6.2,0,0,3500,2,66.98,-1.01,2,1,0,1,0,0,0,0-2,0,0,2-Feb,2,1,belowAVG
Wendell Carter Jr.,chi,Lose,1,17.75,17.2,0,0,5800,5,65.02,-1.3,6,6,0,1,1,2,0,7-Feb,2,0.285714286,2-Feb,2,1,Average
Wenyen Gabriel,por,Win,0,2.65,2,0,0,3500,4,67.71,-0.36,0,0,0,1,0,1,0,0,0,0,0,0,0,belowAVG
Wes Iwundu,orl,Lose,0,12.98333333,2.2,0,0,3700,3,66.25,0,1,1,0,0,0,0,0,0-2,0,0,2-Jan,1,0.5,belowAVG
Wes Matthews,mil,Win,1,13.98333333,3.7,0,0,3600,2,62.28,1.4,2,1,1,0,0,1,0,0-3,0,0,2-Feb,2,1,belowAVG
Will Barton,den,Lose,1,36.56666667,37.3,0,0,6000,3,61.82,-6.49,20,9,5,0,0,1,2,17-Jul,7,0.411764706,5-Apr,4,0.8,Advanced
Willie Cauley-Stein,dal,Win,1,25.9,28.5,0,0,4300,5,65.02,0.14,7,10,1,1,2,1,0,8-Mar,3,0.375,2-Jan,1,0.5,AboveAVG
Wilson Chandler,bkn,Lose,0,19.46666667,5.6,0,0,3700,3,65.7,1.46,2,3,0,0,0,0,0,0-1,0,0,2-Feb,2,1,belowAVG
Yogi Ferrell,sac,Lose,0,7.666666667,6.7,0,0,3500,1,67.12,-0.28,3,1,3,0,0,2,0,5-Jan,1,0.2,1-Jan,1,1,belowAVG
Yuta Watanabe,mem,Lose,0,6.716666667,0,0,0,3500,2,67.16,-1.3,0,0,0,0,0,0,0,0,0,0,0-2,0,0,belowAVG
Zach Collins,por,Win,1,24.03333333,13.1,0,0,5300,4,63.51,3.66,10,3,1,0,0,2,2,5-Mar,3,0.6,2-Feb,2,1,Average
Zach LaVine,chi,Lose,1,33.43333333,42.9,0,0,8100,2,63.1,2.65,18,7,7,3,0,3,0,10-Jun,6,0.6,8-Jun,6,0.75,Advanced
Zach Norvell Jr.,lal,Win,0,2.333333333,0,0,0,3500,2,64.88,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,belowAVG
Zhaire Smith,phi,Lose,0,3.266666667,0,0,0,3500,2,65.43,-0.31,0,0,0,0,0,0,0,0-1,0,0,0,0,0,belowAVG
Zion Williamson,nor,Lose,1,32.98333333,37.5,1,0,6500,4,66.62,-0.37,21,10,1,1,1,3,0,14-Aug,8,0.571428571,7-May,5,0.714285714,Advanced
Zylan Cheatham,nor,Win,0,10.93333333,8.1,0,0,3500,4,65.57,2.1,2,3,1,0,1,2,0,1-Jan,1,0,0,0,0,belowAVG
