Player,Pos_x,Age_x,Tm,G_x,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos_y,Age_y,G_y,MP_y,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
Quincy Acy,PF,24.0,NYK,68.0,22.0,18.9,2.2,4.9,0.45899999999999996,0.3,0.9,0.3,2.0,4.0,.494,0.486,1.1,1.4,0.784,1.2,3.3,4.4,1.0,0.4,0.3,0.9,2.2,5.9,PF,24.0,68.0,1287,11.9,0.5329999999999999,.181,.293,6.9,20.5,13.5,8.7,1.1,1.4,13.8,15.5,,1.0,0.7,1.7,.063,,-2.3,-0.8,-3.1,-0.3
Jordan Adams,SG,20.0,MEM,30.0,0.0,8.3,1.2,2.9,0.40700000000000003,0.3,0.8,0.4,0.8,2.0,.410,0.465,0.5,0.8,0.609,0.3,0.6,0.9,0.5,0.5,0.2,0.5,0.8,3.1,SG,20.0,30.0,248,12.8,0.489,.291,.267,4.2,8.7,6.4,10.1,3.4,2.3,12.7,20.4,,0.0,0.4,0.4,.073,,-1.8,1.2,-0.6,0.1
Steven Adams,C,21.0,OKC,70.0,67.0,25.3,3.1,5.7,0.544,0.0,0.0,0.0,3.1,5.7,.547,0.544,1.5,2.9,0.502,2.8,4.6,7.5,0.9,0.5,1.2,1.4,3.2,7.7,C,21.0,70.0,1771,14.1,0.5489999999999999,.005,.514,12.2,19.3,15.8,5.5,1.1,3.8,16.8,14.3,,1.9,2.2,4.1,.111,,-1.4,1.8,0.4,1.1
Jeff Adrien,PF,28.0,MIN,17.0,0.0,12.6,1.1,2.6,0.43200000000000005,0.0,0.0,0.0,1.1,2.6,.432,0.43200000000000005,1.3,2.2,0.579,1.4,3.2,4.5,0.9,0.2,0.5,0.5,1.8,3.5,PF,28.0,17.0,215,14.2,0.494,.000,.864,11.9,29.6,20.5,10.5,0.9,3.3,12.9,14.3,,0.2,0.2,0.4,.087,,-2.7,0.5,-2.2,0.0
Arron Afflalo,SG,29.0,TOT,78.0,72.0,32.1,4.8,11.3,0.424,1.5,4.3,0.354,3.3,7.1,.466,0.491,2.1,2.5,0.843,0.3,2.8,3.2,1.7,0.5,0.1,1.5,2.1,13.3,SG,29.0,78.0,2502,10.7,0.5329999999999999,.377,.224,1.1,9.7,5.3,8.2,0.8,0.2,10.7,19.0,,1.6,1.0,2.6,.050,,-0.5,-1.3,-1.8,0.1
Arron Afflalo,SG,29.0,DEN,53.0,53.0,33.0,5.3,12.4,0.428,1.5,4.6,0.337,3.8,7.8,.481,0.49,2.4,2.8,0.841,0.4,3.0,3.4,1.9,0.6,0.1,1.6,2.0,14.5,SG,29.0,53.0,1750,11.7,0.5329999999999999,.370,.230,1.3,10.2,5.6,9.3,0.9,0.2,10.3,19.9,,1.4,0.4,1.8,.050,,0.0,-1.6,-1.6,0.2
Arron Afflalo,SG,29.0,POR,25.0,19.0,30.1,3.8,9.1,0.414,1.4,3.6,0.4,2.3,5.5,.423,0.493,1.6,1.9,0.851,0.2,2.4,2.7,1.1,0.4,0.1,1.3,2.4,10.6,SG,29.0,25.0,752,8.2,0.5329999999999999,.396,.207,0.9,8.5,4.8,5.5,0.6,0.2,11.8,16.7,,0.2,0.5,0.8,.049,,-1.5,-0.8,-2.3,-0.1
Alexis Ajinça,C,26.0,NOP,68.0,8.0,14.1,2.7,4.8,0.55,0.0,0.0,0.0,2.7,4.8,.550,0.55,1.2,1.5,0.818,1.5,3.1,4.6,0.7,0.3,0.8,1.0,2.2,6.5,C,26.0,68.0,957,19.9,0.595,.000,.301,12.4,25.0,18.7,8.2,1.2,4.0,15.6,21.1,,1.9,1.2,3.2,.159,,-0.5,0.6,0.2,0.5
Furkan Aldemir,PF,23.0,PHI,41.0,9.0,13.2,1.0,1.9,0.513,0.0,0.1,0.0,1.0,1.8,.548,0.513,0.3,0.7,0.48100000000000004,1.9,2.4,4.3,0.7,0.4,0.4,0.4,2.3,2.3,PF,23.0,41.0,540,12.0,0.517,.064,.346,14.9,20.7,17.7,8.3,1.6,2.4,15.9,8.6,,0.7,0.7,1.4,.122,,-2.7,2.0,-0.7,0.2
Cole Aldrich,C,26.0,NYK,61.0,16.0,16.0,2.4,4.9,0.478,0.0,0.0,0.0,2.4,4.9,.478,0.478,0.8,1.0,0.7809999999999999,1.7,3.9,5.5,1.2,0.6,1.1,1.0,2.0,5.5,C,26.0,61.0,976,18.1,0.513,.000,.213,11.6,28.9,20.0,13.3,2.0,5.5,15.2,18.3,,0.8,1.4,2.2,.107,,-2.2,3.1,0.9,0.7
LaMarcus Aldridge,PF,29.0,POR,71.0,71.0,35.4,9.3,19.9,0.466,0.5,1.5,0.35200000000000004,8.8,18.5,.475,0.479,4.3,5.1,0.845,2.5,7.7,10.2,1.7,0.7,1.0,1.7,1.8,23.4,PF,29.0,71.0,2512,22.8,0.528,.074,.256,7.7,22.9,15.5,9.2,1.0,1.9,7.2,30.2,,4.9,3.7,8.6,.165,,0.3,0.0,0.3,1.4
Lavoy Allen,C,25.0,IND,63.0,0.0,17.0,2.2,4.7,0.47200000000000003,0.0,0.0,0.0,2.2,4.7,.472,0.47200000000000003,0.5,0.7,0.7020000000000001,2.0,3.2,5.1,1.2,0.2,0.7,0.6,1.6,5.0,C,25.0,63.0,1070,14.9,0.493,.000,.157,12.8,20.5,16.7,10.9,0.7,3.1,11.1,15.2,,1.3,1.6,2.8,.127,,-1.4,2.2,0.8,0.8
Tony Allen,SG,33.0,MEM,63.0,41.0,26.2,3.6,7.2,0.495,0.2,0.5,0.345,3.4,6.8,.505,0.505,1.3,2.0,0.627,1.6,2.8,4.4,1.4,2.0,0.5,1.4,2.6,8.6,SG,33.0,63.0,1648,14.6,0.528,.064,.277,7.2,12.2,9.7,8.1,4.1,1.5,14.4,16.6,,0.9,3.2,4.1,.119,,-0.4,3.7,3.3,2.2
Al-Farouq Aminu,SF,24.0,DAL,74.0,3.0,18.5,2.0,4.8,0.41200000000000003,0.5,1.7,0.27399999999999997,1.5,3.1,.485,0.45899999999999996,1.1,1.6,0.7120000000000001,1.5,3.1,4.6,0.8,0.9,0.8,0.7,1.9,5.6,SF,24.0,74.0,1366,14.4,0.504,.347,.331,9.1,18.4,13.7,6.1,2.6,3.7,11.9,15.2,,1.2,2.0,3.3,.115,,-0.5,2.9,2.4,1.5
Lou Amundson,PF,32.0,TOT,53.0,35.0,17.7,2.1,4.8,0.42700000000000005,0.0,0.0,0.0,2.1,4.8,.429,0.42700000000000005,0.8,1.6,0.47100000000000003,1.8,3.3,5.1,1.3,0.4,1.0,1.2,2.4,4.9,PF,32.0,53.0,937,11.8,0.442,.004,.341,11.3,22.0,16.5,12.2,1.2,4.6,17.5,17.4,,-0.6,0.9,0.3,.017,,-4.0,2.0,-2.0,0.0
Lou Amundson,PF,32.0,CLE,12.0,0.0,6.6,0.3,1.0,0.33299999999999996,0.0,0.0,0.0,0.3,1.0,.333,0.33299999999999996,0.3,0.4,0.6,0.4,1.3,1.7,0.4,0.1,0.0,0.4,0.9,0.9,PF,32.0,12.0,79,3.8,0.387,.000,.417,7.4,21.5,14.5,8.7,0.7,0.0,26.0,11.0,,-0.1,0.1,0.0,-0.011,,-6.2,-0.1,-6.3,-0.1
Lou Amundson,PF,32.0,NYK,41.0,35.0,20.9,2.6,5.9,0.43200000000000005,0.0,0.0,0.0,2.6,5.9,.434,0.43200000000000005,0.9,2.0,0.46299999999999997,2.2,3.9,6.0,1.6,0.5,1.3,1.4,2.8,6.0,PF,32.0,41.0,858,12.5,0.444,.004,.337,11.6,22.0,16.7,12.6,1.3,5.0,17.0,18.0,,-0.5,0.8,0.4,.020,,-3.8,2.2,-1.6,0.1
Chris Andersen,C,36.0,MIA,60.0,20.0,18.9,2.0,3.5,0.58,0.1,0.2,0.308,1.9,3.2,.598,0.589,1.3,1.9,0.667,1.3,3.7,5.0,0.7,0.4,1.0,0.7,1.5,5.3,C,36.0,60.0,1132,16.1,0.622,.063,.551,8.2,23.2,15.9,6.1,1.2,4.6,13.5,12.3,,2.1,1.5,3.6,.151,,-1.2,2.3,1.0,0.9
Alan Anderson,SG,32.0,BRK,74.0,19.0,23.6,2.6,5.9,0.44299999999999995,1.0,2.8,0.348,1.6,3.1,.530,0.526,1.1,1.4,0.812,0.4,2.3,2.8,1.1,0.8,0.1,0.8,2.0,7.4,SG,32.0,74.0,1744,10.6,0.563,.477,.230,2.0,11.1,6.6,7.2,1.7,0.2,11.0,14.2,,1.7,1.1,2.7,.075,,0.0,-0.5,-0.5,0.6
