Player,Pos_x,Age_x,Tm,G_x,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos_y,Age_y,G_y,MP_y,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
Chris Andersen,C,37.0,MIA,7.0,1.0,5.1,0.6,1.4,0.4,0.3,0.7,0.4,0.3,0.7,.400,0.5,0.4,0.6,0.75,0.4,0.9,1.3,0.4,0.1,0.4,0.3,0.6,1.9,C,37.0,7.0,36,17.6,0.5529999999999999,.500,.400,9.8,18.3,14.2,12.2,1.4,6.4,14.5,17.5,,0.1,0.1,0.1,.165,,0.4,2.6,3.0,0.0
Chris Andersen,C,37.0,MEM,20.0,14.0,18.3,1.7,3.1,0.5479999999999999,0.1,0.5,0.222,1.6,2.7,.604,0.565,1.1,1.6,0.688,1.7,2.8,4.5,0.5,0.7,0.5,0.4,1.3,4.6,C,37.0,20.0,366,15.1,0.605,.145,.516,9.9,18.2,13.9,3.7,2.0,2.5,8.4,10.2,,0.7,0.4,1.1,.148,,-0.4,0.9,0.6,0.2
Alan Anderson,SG,33.0,WAS,13.0,0.0,14.8,1.6,4.5,0.35600000000000004,0.9,2.8,0.324,0.7,1.7,.409,0.45799999999999996,0.8,1.2,0.733,0.1,2.0,2.1,1.1,0.3,0.1,0.2,1.9,5.0,SG,33.0,13.0,192,9.2,0.495,.627,.254,0.6,15.5,7.9,10.3,1.0,0.4,3.0,15.4,,0.2,0.2,0.3,.078,,-1.2,-1.7,-2.8,0.0
James Anderson,SG,26.0,SAC,51.0,15.0,14.1,1.3,3.5,0.376,0.5,1.7,0.267,0.9,1.8,.478,0.441,0.4,0.6,0.759,0.3,1.4,1.7,0.8,0.4,0.3,0.8,1.1,3.5,SG,26.0,51.0,721,6.0,0.469,.483,.163,2.0,10.9,6.5,7.7,1.4,1.6,18.0,13.7,,-0.6,0.4,-0.3,-0.017,,-3.9,-0.3,-4.2,-0.4
Justin Anderson,SF,22.0,DAL,55.0,9.0,11.8,1.3,3.2,0.406,0.4,1.5,0.265,0.9,1.7,.533,0.469,0.8,1.0,0.8,0.3,2.1,2.4,0.5,0.3,0.5,0.4,0.8,3.8,SF,22.0,55.0,647,12.3,0.522,.474,.314,3.1,19.3,11.2,6.8,1.5,3.2,10.8,15.8,,0.3,0.8,1.1,.083,,-2.5,1.3,-1.2,0.1
Kyle Anderson,SF,22.0,SAS,78.0,11.0,16.0,1.8,3.8,0.46799999999999997,0.2,0.5,0.324,1.6,3.3,.488,0.488,0.8,1.1,0.747,0.3,2.8,3.1,1.6,0.8,0.4,0.8,1.2,4.5,SF,22.0,78.0,1245,12.9,0.528,.125,.281,2.4,19.4,11.2,13.7,2.5,1.8,15.1,14.4,,0.7,2.8,3.5,.133,,-1.9,3.7,1.8,1.2
Ryan Anderson,PF,27.0,NOP,66.0,7.0,30.4,6.0,14.1,0.42700000000000005,2.0,5.4,0.366,4.0,8.7,.466,0.498,3.0,3.5,0.873,2.0,4.0,6.0,1.1,0.6,0.4,1.4,1.7,17.0,PF,27.0,66.0,2008,17.2,0.546,.385,.245,7.0,15.2,10.9,6.1,0.9,1.0,8.0,24.7,,3.1,0.8,3.9,.092,,1.5,-2.9,-1.4,0.3
Giannis Antetokounmpo,PG,21.0,MIL,80.0,79.0,35.3,6.4,12.7,0.506,0.4,1.4,0.257,6.1,11.3,.537,0.52,3.7,5.1,0.7240000000000001,1.4,6.2,7.7,4.3,1.2,1.4,2.6,3.2,16.9,PG,21.0,80.0,2823,18.8,0.5660000000000001,.108,.404,4.6,20.0,12.4,20.0,1.7,3.4,14.8,22.3,,4.2,2.9,7.1,.121,,1.0,1.5,2.4,3.2
Thanasis Antetokounmpo,SF,23.0,NYK,2.0,0.0,3.0,1.5,2.0,0.75,0.0,0.5,0.0,1.5,1.5,1.000,0.75,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,3.0,SF,23.0,2.0,6,32.9,0.75,.250,.000,0.0,17.9,9.1,0.0,0.0,0.0,0.0,30.2,,0.0,0.0,0.0,.291,,6.3,-10.5,-4.1,0.0
Carmelo Anthony,SF,31.0,NYK,72.0,72.0,35.1,7.9,18.2,0.434,1.5,4.3,0.33899999999999997,6.4,13.8,.463,0.474,4.6,5.6,0.8290000000000001,1.4,6.4,7.7,4.2,0.9,0.5,2.4,2.5,21.8,SF,31.0,72.0,2530,20.3,0.53,.237,.308,4.3,19.5,12.0,21.9,1.3,1.1,10.6,29.7,,3.9,2.5,6.4,.121,,2.8,-0.2,2.6,2.9
Joel Anthony,C,33.0,DET,19.0,0.0,5.1,0.3,0.5,0.6,0.0,0.0,0.0,0.3,0.5,.600,0.6,0.3,0.4,0.75,0.4,0.7,1.1,0.1,0.1,0.6,0.1,0.8,0.9,C,33.0,19.0,96,14.1,0.6659999999999999,.000,.800,8.8,15.4,11.9,1.4,1.1,9.5,12.9,7.0,,0.2,0.2,0.4,.177,,-2.8,5.0,2.2,0.1
Keith Appling,PG,23.0,ORL,5.0,0.0,5.4,0.4,1.6,0.25,0.0,0.6,0.0,0.4,1.0,.400,0.25,0.4,0.4,1.0,0.0,0.2,0.2,0.2,0.2,0.0,0.6,1.0,1.2,PG,23.0,5.0,27,-4.8,0.33799999999999997,.375,.250,0.0,4.2,2.1,5.0,1.9,0.0,25.3,19.5,,-0.1,0.0,-0.1,-0.199,,-10.3,-2.7,-13.0,-0.1
