Player,Pos_x,Age_x,Tm,G_x,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos_y,Age_y,G_y,MP_y,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
Álex Abrines,SG,23.0,OKC,68.0,6.0,15.5,2.0,5.0,0.39299999999999996,1.4,3.6,0.381,0.6,1.4,.426,0.531,0.6,0.7,0.898,0.3,1.0,1.3,0.6,0.5,0.1,0.5,1.7,6.0,SG,23.0,68.0,1055,10.1,0.56,.724,.144,1.9,7.1,4.5,5.5,1.7,0.6,8.3,15.9,,1.2,0.9,2.1,.096,,-0.3,-2.2,-2.5,-0.1
Quincy Acy,PF,26.0,TOT,38.0,1.0,14.7,1.8,4.5,0.41200000000000003,1.0,2.4,0.41100000000000003,0.9,2.1,.413,0.521,1.2,1.6,0.75,0.5,2.5,3.0,0.5,0.4,0.4,0.6,1.8,5.8,PF,26.0,38.0,558,11.8,0.565,.529,.353,3.9,18.0,11.0,4.9,1.2,2.0,9.7,16.8,,0.5,0.5,0.9,.082,,-1.8,-1.2,-3.0,-0.1
Quincy Acy,PF,26.0,DAL,6.0,0.0,8.0,0.8,2.8,0.294,0.2,1.2,0.14300000000000002,0.7,1.7,.400,0.324,0.3,0.5,0.667,0.3,1.0,1.3,0.0,0.0,0.0,0.3,1.5,2.2,PF,26.0,6.0,48,-1.4,0.355,.412,.176,4.6,15.2,9.7,0.0,0.0,0.0,9.8,20.0,,-0.2,0.0,-0.1,-0.133,,-10.1,-6.0,-16.2,-0.2
Quincy Acy,PF,26.0,BRK,32.0,1.0,15.9,2.0,4.8,0.425,1.1,2.6,0.434,0.9,2.2,.414,0.542,1.3,1.8,0.754,0.6,2.8,3.3,0.6,0.4,0.5,0.6,1.8,6.5,PF,26.0,32.0,510,13.1,0.5870000000000001,.542,.373,3.8,18.2,11.1,5.4,1.3,2.2,9.6,16.5,,0.6,0.5,1.1,.102,,-1.1,-0.7,-1.8,0.0
Steven Adams,C,23.0,OKC,80.0,80.0,29.9,4.7,8.2,0.5710000000000001,0.0,0.0,0.0,4.7,8.2,.572,0.5710000000000001,2.0,3.2,0.611,3.5,4.2,7.7,1.1,1.1,1.0,1.8,2.4,11.3,C,23.0,80.0,2389,16.5,0.589,.002,.392,13.0,15.4,14.2,5.4,1.8,2.6,16.0,16.2,,3.3,3.1,6.5,.130,,-0.7,1.2,0.6,1.5
Arron Afflalo,SG,31.0,SAC,61.0,45.0,25.9,3.0,6.9,0.44,1.0,2.5,0.41100000000000003,2.0,4.4,.457,0.514,1.4,1.5,0.892,0.1,1.9,2.0,1.3,0.3,0.1,0.7,1.7,8.4,SG,31.0,61.0,1580,8.9,0.5589999999999999,.360,.221,0.7,8.4,4.6,7.4,0.7,0.3,8.4,14.4,,1.2,0.2,1.4,.043,,-1.4,-2.1,-3.5,-0.6
Alexis Ajinça,C,28.0,NOP,39.0,15.0,15.0,2.3,4.6,0.5,0.0,0.1,0.0,2.3,4.5,.511,0.5,0.7,1.0,0.725,1.2,3.4,4.5,0.3,0.5,0.6,0.8,2.0,5.3,C,28.0,39.0,584,12.9,0.529,.022,.225,8.3,23.8,16.0,3.1,1.7,3.1,13.7,17.2,,0.0,0.9,1.0,.080,,-5.1,1.0,-4.1,-0.3
Cole Aldrich,C,28.0,MIN,62.0,0.0,8.6,0.7,1.4,0.523,0.0,0.0,0.0,0.7,1.4,.523,0.523,0.2,0.4,0.682,0.8,1.7,2.5,0.4,0.4,0.4,0.3,1.4,1.7,C,28.0,62.0,531,12.7,0.5489999999999999,.000,.256,11.0,23.9,17.4,6.4,2.4,3.7,15.1,9.4,,0.6,0.7,1.3,.116,,-2.0,2.6,0.6,0.4
LaMarcus Aldridge,PF,31.0,SAS,72.0,72.0,32.4,6.9,14.6,0.47700000000000004,0.3,0.8,0.41100000000000003,6.6,13.8,.480,0.488,3.1,3.8,0.812,2.4,4.9,7.3,1.9,0.6,1.2,1.4,2.2,17.3,PF,31.0,72.0,2335,18.6,0.532,.053,.258,8.5,16.6,12.7,9.9,1.0,3.0,7.7,24.5,,3.5,3.7,7.2,.149,,-0.3,1.3,1.0,1.8
Lavoy Allen,PF,27.0,IND,61.0,5.0,14.3,1.3,2.8,0.45799999999999996,0.0,0.0,0.0,1.3,2.7,.461,0.45799999999999996,0.4,0.5,0.6970000000000001,1.7,1.9,3.6,0.9,0.3,0.4,0.5,1.3,2.9,PF,27.0,61.0,871,11.6,0.485,.006,.196,13.7,14.5,14.1,9.1,1.0,2.4,13.7,10.9,,0.9,0.8,1.7,.093,,-1.5,1.3,-0.3,0.4
