,Player,Pos_x,Age_x,Tm,G_x,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos_y,Age_y,G_y,MP_y,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
13,Thanasis Antetokounmpo,SF,27.0,MIL,15.0,1.0,4.1,0.9,1.5,0.565,0.0,0.2,0.0,0.9,1.3,.650,0.565,0.3,0.6,0.444,0.4,0.1,0.5,0.4,0.1,0.1,0.3,0.6,2.0,SF,27.0,15.0,61,13.8,0.556,.130,.391,10.3,1.5,5.6,14.0,1.5,1.4,15.6,21.6,,0.1,0.1,0.1,.108,,-1.8,-1.3,-3.0,0.0
14,Carmelo Anthony,PF,35.0,POR,37.0,37.0,32.6,5.8,13.8,0.42100000000000004,1.4,3.8,0.366,4.4,10.0,.442,0.47200000000000003,2.2,2.6,0.845,1.2,5.3,6.6,1.5,0.8,0.5,1.7,2.9,15.2,PF,35.0,37.0,1205,12.2,0.509,.278,.190,4.0,16.6,10.4,6.9,1.2,1.3,10.2,21.7,,0.0,0.7,0.7,.029,,-2.2,-1.2,-3.5,-0.4
15,OG Anunoby,SF,22.0,TOR,51.0,50.0,29.0,4.1,8.3,0.49200000000000005,1.3,3.5,0.369,2.8,4.8,.580,0.569,0.8,1.2,0.6559999999999999,1.1,4.3,5.3,1.5,1.1,0.6,1.2,2.4,10.2,SF,22.0,51.0,1477,12.3,0.579,.418,.145,4.0,15.2,9.7,7.6,1.9,2.2,12.2,14.8,,1.1,2.5,3.5,.114,,-0.9,2.3,1.4,1.3
16,Ryan Arcidiacono,PG,25.0,CHI,49.0,0.0,14.9,1.4,3.5,0.409,0.9,2.2,0.41100000000000003,0.5,1.3,.406,0.5379999999999999,0.4,0.6,0.7140000000000001,0.3,1.3,1.7,1.6,0.4,0.1,0.5,1.6,4.2,PG,25.0,49.0,728,9.3,0.556,.626,.164,2.2,10.3,6.1,14.9,1.3,0.4,12.0,12.2,,0.7,0.6,1.2,.082,,-1.6,-1.1,-2.7,-0.1
17,Trevor Ariza,SF,34.0,TOT,40.0,8.0,25.9,2.3,5.6,0.41,1.3,3.7,0.358,1.0,1.9,.514,0.529,0.7,0.9,0.8,0.7,3.9,4.6,1.6,1.2,0.2,0.9,2.1,6.6,SF,34.0,40.0,1036,9.7,0.5539999999999999,.667,.158,2.7,17.2,9.8,8.0,2.2,0.7,13.5,11.5,,0.5,1.0,1.5,.069,,-1.2,0.8,-0.3,0.4
18,Trevor Ariza,SF,34.0,SAC,32.0,0.0,24.7,2.0,5.2,0.38799999999999996,1.3,3.8,0.35200000000000004,0.7,1.3,.488,0.518,0.7,0.8,0.778,0.7,3.9,4.6,1.6,1.1,0.2,0.9,2.0,6.0,SF,34.0,32.0,791,9.5,0.5429999999999999,.739,.164,2.9,18.4,10.4,8.5,2.2,0.8,13.7,11.3,,0.3,0.8,1.2,.070,,-1.3,1.1,-0.2,0.4
19,Trevor Ariza,SF,34.0,POR,8.0,8.0,30.6,3.4,7.1,0.474,1.3,3.3,0.385,2.1,3.9,.548,0.561,0.9,1.0,0.875,0.6,4.0,4.6,1.5,1.4,0.1,1.1,2.6,8.9,SF,34.0,8.0,245,10.3,0.5870000000000001,.456,.140,2.1,13.2,7.8,6.5,2.1,0.3,12.9,12.0,,0.2,0.2,0.3,.067,,-0.8,0.0,-0.8,0.1
20,D.J. Augustin,PG,32.0,ORL,39.0,6.0,26.0,3.3,8.4,0.39299999999999996,1.2,3.5,0.34600000000000003,2.1,4.9,.426,0.465,2.9,3.3,0.877,0.4,2.1,2.4,4.7,0.7,0.0,1.4,1.1,10.7,PG,32.0,39.0,1013,14.5,0.544,.417,.399,1.5,8.7,5.0,27.4,1.3,0.1,12.4,18.8,,1.5,0.8,2.3,.110,,0.1,-2.0,-2.0,0.0
21,Deandre Ayton,C,21.0,PHO,22.0,17.0,32.6,8.2,15.3,0.534,0.0,0.0,0.0,8.2,15.3,.536,0.534,2.0,2.5,0.7959999999999999,3.8,7.9,11.7,2.2,0.6,1.6,1.8,3.0,18.3,C,21.0,22.0,718,20.7,0.5589999999999999,.003,.160,12.7,27.0,19.7,11.2,0.9,4.3,9.8,23.6,,1.1,0.9,2.0,.135,,-0.8,1.8,1.0,0.5
22,Dwayne Bacon,SG,24.0,CHO,38.0,11.0,17.7,2.2,6.3,0.353,0.5,1.8,0.284,1.7,4.6,.379,0.392,0.9,1.4,0.66,0.4,2.1,2.5,1.3,0.6,0.1,0.9,1.4,5.9,SG,24.0,38.0,673,6.3,0.424,.278,.220,2.2,13.6,7.6,11.7,1.7,0.3,12.0,19.5,,-1.1,0.3,-0.7,-0.053,,-6.0,-1.7,-7.7,-1.0
23,Marvin Bagley,PF,20.0,SAC,13.0,6.0,25.7,6.0,12.8,0.467,0.3,1.7,0.182,5.7,11.2,.510,0.479,1.9,2.4,0.8059999999999999,2.2,5.2,7.5,0.8,0.5,0.9,1.4,3.3,14.2,PF,20.0,13.0,334,15.9,0.512,.132,.186,9.5,23.7,16.4,5.1,0.9,3.4,9.1,26.0,,0.0,0.4,0.4,.057,,-4.0,-1.6,-5.7,-0.3
24,Lonzo Ball,PG,22.0,NOP,44.0,35.0,31.7,4.4,11.2,0.39299999999999996,2.4,6.5,0.364,2.0,4.7,.434,0.499,0.7,1.2,0.5579999999999999,1.2,4.9,6.1,6.7,1.3,0.5,2.9,1.9,11.8,PG,22.0,44.0,1395,13.0,0.505,.582,.106,3.8,16.5,10.1,28.9,1.9,1.2,19.9,18.9,,0.3,1.2,1.5,.051,,0.0,0.6,0.5,0.9
25,Mo Bamba,C,21.0,ORL,48.0,0.0,15.0,2.2,4.8,0.469,0.6,1.7,0.337,1.6,3.0,.545,0.531,0.5,0.7,0.688,1.5,3.5,5.0,0.6,0.4,1.4,0.8,1.9,5.5,C,21.0,48.0,720,16.7,0.545,.364,.140,10.4,25.9,17.9,6.5,1.2,8.6,13.9,17.0,,0.4,1.5,1.9,.125,,-3.0,4.1,1.1,0.6
26,J.J. Barea,PG,35.0,DAL,16.0,4.0,15.4,3.4,7.6,0.455,1.4,3.0,0.45799999999999996,2.1,4.6,.452,0.545,0.6,0.6,1.0,0.5,1.4,1.9,3.6,0.2,0.1,1.3,0.7,8.9,PG,35.0,16.0,247,18.8,0.5660000000000001,.397,.083,3.4,9.6,6.5,36.4,0.6,0.3,13.8,25.1,,0.6,0.1,0.7,.137,,2.5,-3.7,-1.2,0.0
27,Harrison Barnes,PF,27.0,SAC,51.0,51.0,34.6,4.9,11.1,0.444,1.3,3.6,0.35,3.7,7.5,.490,0.501,3.2,4.0,0.7929999999999999,0.9,3.9,4.8,2.1,0.6,0.2,1.2,1.2,14.3,PF,27.0,51.0,1767,12.6,0.555,.323,.358,2.9,13.2,7.9,9.1,0.8,0.4,8.6,17.7,,2.0,0.9,2.9,.078,,-0.7,-1.2,-2.0,0.0
28,RJ Barrett,SG,19.0,NYK,42.0,41.0,30.9,5.1,12.9,0.39399999999999996,1.1,3.5,0.331,3.9,9.4,.418,0.439,2.8,4.6,0.601,1.0,4.1,5.2,2.5,1.0,0.4,2.2,2.2,14.0,SG,19.0,42.0,1299,10.6,0.47200000000000003,.269,.357,3.4,14.7,8.8,12.3,1.6,1.2,12.7,23.4,,-1.3,0.9,-0.4,-0.016,,-3.2,-0.7,-3.9,-0.6
29,Will Barton,SF,29.0,DEN,48.0,48.0,33.3,5.8,12.9,0.447,1.8,4.8,0.382,3.9,8.1,.485,0.517,1.8,2.4,0.7609999999999999,1.5,5.0,6.5,3.7,1.1,0.5,1.4,2.0,15.1,SF,29.0,48.0,1598,16.0,0.5429999999999999,.369,.183,4.8,16.6,10.7,16.4,1.6,1.4,9.1,19.8,,2.2,2.0,4.2,.126,,1.1,0.8,1.9,1.6
30,Keita Bates-Diop,SF,24.0,MIN,37.0,0.0,17.5,2.4,5.6,0.42200000000000004,0.8,2.5,0.33,1.5,3.0,.500,0.498,1.2,1.8,0.708,0.6,2.4,3.0,0.8,0.5,0.5,0.4,1.0,6.8,SF,24.0,37.0,646,12.7,0.535,.456,.316,3.3,14.9,8.9,6.8,1.2,2.6,5.6,15.9,,0.6,0.5,1.1,.084,,-2.0,-0.5,-2.4,-0.1
31,Nicolas Batum,SF,31.0,CHO,22.0,3.0,23.0,1.3,3.7,0.34600000000000003,0.6,2.2,0.28600000000000003,0.6,1.5,.438,0.43200000000000005,0.4,0.5,0.9,1.1,3.4,4.5,3.0,0.8,0.4,1.0,1.9,3.6,SF,31.0,22.0,505,9.1,0.46299999999999997,.605,.123,5.2,17.0,10.8,18.2,1.7,1.5,20.5,9.3,,0.2,0.4,0.5,.050,,-2.7,1.2,-1.6,0.1
32,Aron Baynes,C,33.0,PHO,33.0,25.0,22.9,4.4,9.0,0.49,1.3,3.8,0.33299999999999996,3.2,5.2,.605,0.56,1.3,1.8,0.721,1.6,4.1,5.8,1.9,0.2,0.6,1.2,3.5,11.5,C,33.0,33.0,756,15.2,0.5820000000000001,.423,.205,7.7,20.1,13.8,12.5,0.4,2.2,10.7,20.4,,1.1,0.6,1.8,.112,,0.7,-0.5,0.2,0.4
