,Player,Pos_x,Age_x,Tm,G_x,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos_y,Age_y,G_y,MP_y,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
59,Ky Bowman,PG,22.0,GSW,37.0,10.0,22.4,2.9,7.1,0.409,0.8,2.4,0.344,2.1,4.7,.443,0.46799999999999997,0.6,0.8,0.828,0.5,2.1,2.5,2.8,1.0,0.1,1.3,2.2,7.3,PG,22.0,37.0,827,9.2,0.49,.341,.110,2.2,10.2,6.1,19.2,2.1,0.5,15.0,16.8,,-0.3,0.4,0.1,.006,,-3.2,-1.3,-4.5,-0.5
60,Avery Bradley,SG,29.0,LAL,36.0,31.0,22.9,3.4,7.5,0.44799999999999995,0.9,2.9,0.33,2.4,4.6,.521,0.511,0.4,0.4,0.813,0.4,1.9,2.3,1.1,0.8,0.1,1.0,2.3,8.0,SG,29.0,36.0,826,8.1,0.522,.381,.059,2.0,8.6,5.4,6.6,1.6,0.3,11.2,16.0,,-0.1,0.9,0.8,.046,,-2.4,-0.7,-3.1,-0.2
61,Tony Bradley,C,22.0,UTA,38.0,2.0,10.3,1.9,3.1,0.629,0.0,0.0,0.0,1.9,3.1,.629,0.629,0.5,0.8,0.613,1.6,2.6,4.2,0.3,0.3,0.4,0.5,2.0,4.3,C,22.0,38.0,392,19.4,0.636,.000,.267,17.7,25.9,22.0,3.9,1.2,3.2,12.8,16.6,,1.0,0.7,1.7,.210,,-0.3,0.8,0.5,0.2
62,Jarrell Brantley,PF,23.0,UTA,3.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.7,1.7,0.3,0.0,0.7,0.3,0.3,0.0,PF,23.0,3.0,11,9.4,0.0,,,0.0,47.2,24.6,10.9,0.0,15.0,100.0,4.0,,0.0,0.0,0.0,.066,,-11.2,13.0,1.8,0.0
63,Ignas Brazdeikis,SF,21.0,NYK,9.0,0.0,5.9,0.7,2.4,0.273,0.1,1.0,0.111,0.6,1.4,.385,0.295,0.4,0.6,0.8,0.2,0.3,0.6,0.4,0.0,0.1,0.2,0.3,1.9,SF,21.0,9.0,53,3.4,0.35100000000000003,.409,.227,3.8,6.2,5.0,10.7,0.0,1.8,7.6,20.9,,-0.1,0.0,-0.1,-0.110,,-6.5,-4.0,-10.6,-0.1
64,Mikal Bridges,SF,23.0,PHO,52.0,11.0,25.3,2.9,5.7,0.502,0.7,2.1,0.318,2.2,3.7,.605,0.5589999999999999,1.4,1.7,0.816,0.9,3.1,3.9,1.6,1.5,0.6,0.9,2.2,7.8,SF,23.0,52.0,1317,12.6,0.601,.360,.293,3.7,13.6,8.6,8.6,2.7,1.9,12.8,12.4,,1.4,1.6,3.0,.110,,-0.6,2.3,1.7,1.2
65,Miles Bridges,SF,21.0,CHO,51.0,50.0,30.5,4.9,11.1,0.44,1.5,4.4,0.342,3.4,6.6,.504,0.508,1.4,1.8,0.7929999999999999,1.4,4.2,5.6,1.7,0.6,0.8,1.5,2.1,12.7,SF,21.0,51.0,1554,12.4,0.534,.399,.163,4.9,15.6,10.0,9.3,1.0,2.3,11.4,19.2,,0.5,0.8,1.3,.041,,-1.6,-0.6,-2.2,-0.1
66,Oshae Brissett,SF,21.0,TOR,16.0,0.0,7.5,0.8,2.0,0.375,0.2,0.8,0.231,0.6,1.2,.474,0.42200000000000004,0.3,0.4,0.833,0.5,0.9,1.4,0.3,0.3,0.1,0.4,1.1,2.0,SF,21.0,16.0,120,5.8,0.462,.406,.188,7.2,12.0,9.6,4.5,1.6,0.8,16.8,14.9,,-0.1,0.2,0.1,.026,,-4.9,-0.2,-5.1,-0.1
67,Ryan Broekhoff,SG,29.0,DAL,16.0,1.0,10.3,1.3,3.3,0.377,1.1,2.8,0.4,0.1,0.5,.250,0.547,0.4,0.5,0.875,0.2,1.9,2.1,0.4,0.3,0.3,0.3,0.9,4.1,SG,29.0,16.0,164,12.2,0.575,.849,.151,1.9,19.5,10.8,5.8,1.2,2.1,8.1,16.0,,0.2,0.2,0.4,.104,,-0.3,-1.2,-1.5,0.0
68,Malcolm Brogdon,PG,27.0,IND,38.0,38.0,30.7,6.2,13.9,0.442,1.4,4.2,0.32899999999999996,4.8,9.7,.491,0.49200000000000005,3.1,3.5,0.902,0.8,3.8,4.6,7.3,0.7,0.2,2.6,1.8,16.8,PG,27.0,38.0,1165,18.5,0.544,.304,.249,3.0,13.7,8.3,35.7,1.1,0.6,14.3,25.9,,1.8,1.1,2.9,.119,,2.2,-0.8,1.4,1.0
69,Dillon Brooks,SG,24.0,MEM,52.0,52.0,28.4,5.8,13.7,0.42100000000000004,2.1,5.3,0.39399999999999996,3.7,8.4,.437,0.496,2.3,2.8,0.8390000000000001,1.0,2.4,3.4,2.1,1.0,0.4,1.6,3.7,15.9,SG,24.0,52.0,1475,12.9,0.534,.384,.201,3.7,9.0,6.4,10.6,1.6,1.3,9.8,24.4,,0.6,0.9,1.5,.048,,-0.5,-1.8,-2.3,-0.1
70,Bruce Brown,SG,23.0,DET,51.0,39.0,27.6,3.3,7.5,0.44299999999999995,0.6,1.6,0.345,2.8,5.9,.470,0.48,1.6,2.2,0.721,1.0,3.3,4.3,3.9,1.2,0.5,1.7,2.8,8.8,SG,23.0,51.0,1408,12.1,0.519,.219,.289,4.0,13.6,8.8,20.2,2.1,1.6,16.9,16.0,,0.7,1.2,1.9,.066,,-1.6,1.2,-0.4,0.6
71,Charlie Brown,SG,22.0,ATL,10.0,0.0,4.0,0.6,1.9,0.316,0.3,0.9,0.33299999999999996,0.3,1.0,.300,0.395,0.5,0.5,1.0,0.2,0.2,0.4,0.2,0.2,0.2,0.3,0.3,2.0,SG,22.0,10.0,40,11.2,0.47200000000000003,.474,.263,5.3,5.4,5.4,7.4,2.3,4.2,12.4,25.1,,0.0,0.0,0.0,-0.023,,-4.2,-2.0,-6.1,0.0
72,Jaylen Brown,SF,23.0,BOS,42.0,42.0,33.6,7.5,15.1,0.496,2.0,5.3,0.375,5.5,9.7,.562,0.562,3.4,4.5,0.746,1.1,5.5,6.5,2.2,1.1,0.3,2.4,3.0,20.3,SF,23.0,42.0,1413,17.5,0.596,.354,.299,3.5,17.3,10.5,10.4,1.6,0.7,12.3,24.6,,2.0,2.0,4.0,.136,,1.1,-0.4,0.8,1.0
73,Moses Brown,C,20.0,POR,7.0,0.0,3.3,0.6,1.3,0.444,0.0,0.0,0.0,0.6,1.3,.444,0.444,0.3,0.6,0.5,0.4,1.1,1.6,0.0,0.1,0.0,0.4,0.7,1.4,C,20.0,7.0,23,8.9,0.465,.000,.444,13.6,35.3,24.6,0.0,2.1,0.0,21.8,25.4,,-0.1,0.0,0.0,-0.057,,-11.9,-7.3,-19.2,-0.1
74,Sterling Brown,SF,24.0,MIL,35.0,0.0,14.6,1.7,4.7,0.37200000000000005,0.8,2.4,0.321,1.0,2.3,.425,0.45399999999999996,0.7,0.9,0.767,0.7,3.1,3.8,0.9,0.5,0.1,0.8,1.1,4.9,SF,24.0,35.0,510,9.6,0.485,.512,.183,4.7,19.9,12.8,8.1,1.7,0.7,14.1,16.7,,-0.2,1.0,0.8,.075,,-3.6,0.9,-2.7,-0.1
75,Troy Brown,SG,20.0,WAS,47.0,14.0,26.2,4.1,8.8,0.466,0.8,2.4,0.342,3.3,6.3,.513,0.513,1.5,1.9,0.758,1.1,4.6,5.7,2.2,1.2,0.1,1.0,1.9,10.5,SG,20.0,47.0,1231,14.1,0.544,.277,.221,4.4,20.0,12.0,11.6,2.2,0.4,9.6,16.9,,1.3,0.5,1.8,.070,,-0.5,-0.6,-1.2,0.3
76,Jalen Brunson,PG,23.0,DAL,52.0,12.0,18.0,3.3,6.9,0.469,0.8,2.1,0.35100000000000003,2.5,4.8,.522,0.524,1.1,1.3,0.8140000000000001,0.4,2.0,2.4,3.3,0.4,0.1,1.2,1.3,8.3,PG,23.0,52.0,935,15.6,0.555,.308,.194,2.4,11.7,7.1,27.1,1.1,0.4,13.3,20.6,,1.6,0.6,2.2,.113,,0.3,-2.0,-1.7,0.1
77,Thomas Bryant,C,22.0,WAS,29.0,23.0,25.4,5.2,8.9,0.588,0.5,1.5,0.341,4.7,7.3,.638,0.617,1.9,2.6,0.747,2.0,5.4,7.4,2.2,0.3,0.9,1.4,2.3,12.9,C,22.0,29.0,738,19.7,0.643,.171,.292,8.4,23.9,15.9,12.8,0.6,3.0,12.4,18.6,,1.9,0.2,2.1,.137,,1.3,-0.4,0.9,0.5
78,Reggie Bullock,SG,28.0,NYK,18.0,15.0,25.3,3.8,9.2,0.41200000000000003,1.4,4.5,0.309,2.4,4.7,.512,0.488,0.6,0.7,0.846,0.6,1.7,2.3,1.4,1.1,0.0,0.6,2.3,9.6,SG,28.0,18.0,456,10.4,0.504,.491,.079,2.4,7.4,4.8,8.2,2.1,0.0,5.5,16.8,,0.2,0.2,0.4,.046,,-0.7,-1.7,-2.4,0.0
79,Trey Burke,PG,27.0,PHI,25.0,0.0,13.2,2.4,5.1,0.465,0.6,1.5,0.42100000000000004,1.7,3.6,.483,0.528,0.5,0.7,0.722,0.6,0.8,1.4,2.1,0.3,0.0,0.5,0.8,5.9,PG,27.0,25.0,329,15.4,0.545,.299,.142,5.1,6.6,5.8,24.3,1.0,0.3,8.2,19.3,,0.6,0.3,0.9,.135,,0.5,-2.6,-2.1,0.0
80,Alec Burks,SG,28.0,GSW,48.0,18.0,29.0,5.1,12.5,0.406,1.8,4.7,0.375,3.3,7.9,.424,0.47600000000000003,4.2,4.7,0.897,0.8,3.9,4.7,3.1,1.0,0.4,1.6,2.2,16.1,SG,28.0,48.0,1390,16.3,0.552,.373,.373,2.7,15.1,8.7,17.6,1.7,1.1,9.8,23.8,,1.7,0.9,2.6,.090,,0.5,-1.4,-0.9,0.4
81,Deonte Burton,SG,26.0,OKC,30.0,0.0,8.5,1.1,3.1,0.366,0.2,1.3,0.179,0.9,1.8,.500,0.40299999999999997,0.2,0.4,0.5,0.2,1.1,1.3,0.3,0.1,0.3,0.3,0.9,2.7,SG,26.0,30.0,254,5.8,0.41200000000000003,.419,.129,2.3,14.3,8.5,5.7,0.8,3.0,8.4,18.6,,-0.5,0.3,-0.2,-0.037,,-6.2,-0.9,-7.1,-0.3
82,Jimmy Butler,SF,30.0,MIA,44.0,44.0,34.5,6.0,13.3,0.452,0.6,2.5,0.255,5.4,10.8,.498,0.47600000000000003,7.8,9.4,0.8370000000000001,1.9,4.9,6.8,6.3,1.8,0.5,2.3,1.4,20.5,SF,30.0,44.0,1516,24.2,0.588,.188,.703,6.4,15.1,11.0,28.5,2.5,1.6,11.4,25.2,,5.3,2.1,7.4,.235,,3.8,1.7,5.6,2.9
83,Bruno Caboclo,SF,24.0,MEM,22.0,0.0,8.7,1.3,3.1,0.406,0.2,1.1,0.16,1.1,2.0,.545,0.435,0.1,0.1,0.667,0.8,1.2,2.0,0.5,0.5,0.5,0.3,1.0,2.8,SF,24.0,22.0,192,11.9,0.441,.362,.043,9.6,14.8,12.2,7.0,2.4,5.4,9.1,16.8,,-0.1,0.3,0.2,.044,,-3.2,2.0,-1.1,0.0
84,Kentavious Caldwell-Pope,SG,26.0,LAL,50.0,20.0,25.6,3.4,7.3,0.47100000000000003,1.4,3.5,0.41600000000000004,2.0,3.8,.521,0.57,1.3,1.6,0.81,0.6,1.5,2.2,1.8,0.7,0.2,0.9,1.8,9.6,SG,26.0,50.0,1281,11.8,0.6,.474,.216,2.8,6.3,4.6,9.1,1.3,0.8,9.9,14.7,,1.9,1.2,3.1,.115,,0.6,-0.7,-0.1,0.6
85,Vlatko Čančar,SF,22.0,DEN,11.0,0.0,3.5,0.5,1.0,0.455,0.1,0.5,0.2,0.4,0.5,.667,0.5,0.4,0.4,1.0,0.3,0.5,0.7,0.3,0.1,0.1,0.3,0.5,1.4,SF,22.0,11.0,38,13.0,0.588,.455,.364,8.6,14.5,11.5,10.9,1.3,2.4,19.0,17.9,,0.0,0.0,0.1,.109,,-1.4,-0.3,-1.8,0.0
86,Clint Capela,C,25.0,HOU,39.0,39.0,32.8,6.3,9.9,0.629,0.0,0.0,0.0,6.3,9.9,.629,0.629,1.4,2.7,0.529,4.3,9.5,13.8,1.2,0.8,1.8,1.6,2.6,13.9,C,25.0,39.0,1279,20.7,0.626,.000,.268,13.6,30.3,21.9,5.7,1.2,4.8,12.7,15.9,,2.9,2.0,4.9,.186,,-1.0,2.4,1.4,1.1
87,DeMarre Carroll,SF,33.0,SAS,15.0,0.0,9.0,0.6,1.9,0.31,0.2,0.9,0.231,0.4,1.1,.375,0.36200000000000004,0.8,1.3,0.6,0.5,1.6,2.1,0.7,0.1,0.1,0.7,1.3,2.2,SF,33.0,15.0,135,5.0,0.43700000000000006,.448,.690,5.5,18.9,12.2,10.1,0.7,1.3,20.9,15.3,,-0.2,0.1,-0.1,-0.033,,-5.1,-1.0,-6.1,-0.1
88,Jevon Carter,PG,24.0,PHO,37.0,2.0,14.3,1.4,3.7,0.384,0.8,2.1,0.395,0.6,1.7,.371,0.493,0.4,0.4,0.813,0.5,1.4,1.9,1.4,0.8,0.3,0.7,1.5,4.0,PG,24.0,37.0,529,9.6,0.514,.551,.116,3.7,11.0,7.3,13.1,2.5,1.6,15.7,13.8,,0.0,0.6,0.6,.055,,-2.0,0.9,-1.1,0.1
89,Vince Carter,SF,43.0,ATL,46.0,0.0,15.7,1.9,5.5,0.34700000000000003,1.0,3.7,0.28,0.9,1.8,.482,0.44,0.5,0.6,0.7929999999999999,0.3,2.0,2.3,1.0,0.4,0.5,0.7,1.6,5.3,SF,43.0,46.0,723,7.6,0.46299999999999997,.669,.116,1.9,13.7,7.7,8.6,1.2,2.8,10.2,16.9,,-0.6,0.4,-0.2,-0.013,,-3.6,-1.1,-4.7,-0.5
90,Wendell Carter,C,20.0,CHI,37.0,37.0,30.0,4.5,8.4,0.537,0.2,0.8,0.214,4.3,7.6,.569,0.547,2.6,3.5,0.736,3.5,6.4,9.9,1.2,0.8,0.9,1.7,3.8,11.7,C,20.0,37.0,1109,16.1,0.5920000000000001,.091,.417,12.3,24.3,18.0,6.0,1.3,2.8,14.5,16.5,,1.7,1.5,3.2,.138,,-1.6,1.5,-0.2,0.5
91,Michael Carter-Williams,SG,28.0,ORL,29.0,0.0,17.6,2.4,5.7,0.42200000000000004,0.4,1.6,0.267,2.0,4.2,.479,0.45799999999999996,1.5,1.9,0.768,0.9,2.0,2.9,2.5,1.1,0.4,1.0,1.7,6.7,SG,28.0,29.0,510,15.7,0.511,.271,.337,5.4,12.3,8.7,21.9,3.0,2.3,12.8,18.7,,0.4,0.8,1.2,.114,,-1.0,1.9,1.0,0.4
92,Alex Caruso,PG,25.0,LAL,47.0,0.0,18.6,1.9,4.6,0.42100000000000004,0.7,1.9,0.371,1.2,2.7,.456,0.498,1.1,1.3,0.794,0.2,1.6,1.8,1.8,1.1,0.3,0.9,1.7,5.6,PG,25.0,47.0,874,10.5,0.544,.416,.294,1.3,9.1,5.3,12.0,2.7,1.3,14.2,13.6,,0.5,1.3,1.7,.095,,-1.6,1.2,-0.5,0.3
93,Willie Cauley-Stein,C,26.0,TOT,47.0,38.0,21.6,3.3,5.9,0.5579999999999999,0.0,0.0,0.0,3.3,5.9,.558,0.5579999999999999,0.8,1.3,0.61,1.7,4.4,6.0,1.4,1.0,1.2,0.8,2.4,7.4,C,26.0,47.0,1017,16.3,0.569,.000,.212,7.9,22.3,14.9,10.1,2.3,4.9,11.4,14.4,,1.1,1.4,2.5,.117,,-2.4,3.3,1.0,0.8
94,Willie Cauley-Stein,C,26.0,GSW,41.0,37.0,22.9,3.5,6.3,0.56,0.0,0.0,0.0,3.5,6.3,.560,0.56,0.9,1.4,0.614,1.7,4.5,6.2,1.5,1.1,1.2,0.9,2.5,7.9,C,26.0,41.0,940,16.3,0.573,.000,.222,7.8,21.8,14.5,10.0,2.3,4.8,11.0,14.4,,1.1,1.2,2.3,.116,,-2.3,3.2,0.9,0.7
95,Willie Cauley-Stein,C,26.0,DAL,6.0,1.0,12.8,1.8,3.5,0.524,0.0,0.0,0.0,1.8,3.5,.524,0.524,0.2,0.3,0.5,1.2,3.7,4.8,1.0,0.7,1.0,0.7,1.8,3.8,C,26.0,6.0,77,16.9,0.526,.000,.095,9.6,29.4,19.6,10.9,2.5,6.6,15.5,14.3,,0.1,0.2,0.2,.139,,-3.3,5.3,2.0,0.1
96,Tyson Chandler,C,37.0,HOU,25.0,5.0,8.8,0.6,0.7,0.778,0.0,0.0,0.0,0.6,0.7,.778,0.778,0.2,0.5,0.462,1.0,1.6,2.6,0.2,0.2,0.3,0.3,1.3,1.4,C,37.0,25.0,219,10.8,0.7170000000000001,.000,.722,11.8,19.6,15.7,3.5,1.3,3.1,25.2,5.9,,0.3,0.3,0.6,.128,,-2.5,1.4,-1.0,0.1
97,Wilson Chandler,SF,32.0,BRK,22.0,0.0,20.5,2.4,5.3,0.457,1.0,3.2,0.314,1.4,2.1,.674,0.552,0.6,0.7,0.875,0.3,4.2,4.5,1.2,0.6,0.4,1.1,2.1,6.5,SF,32.0,22.0,450,9.6,0.5770000000000001,.603,.138,1.6,20.6,11.4,8.1,1.4,1.5,16.9,13.7,,0.1,0.6,0.7,.074,,-3.0,1.2,-1.8,0.0
98,Zylan Cheatham,SF,24.0,NOP,3.0,0.0,10.3,0.7,1.7,0.4,0.0,0.3,0.0,0.7,1.3,.500,0.4,0.0,0.0,0.0,0.3,1.7,2.0,0.7,0.0,0.3,1.0,1.7,1.3,SF,24.0,3.0,31,0.2,0.4,.200,.000,3.4,17.1,10.2,8.0,0.0,2.7,37.5,10.6,,-0.1,0.0,-0.1,-0.086,,-8.7,0.4,-8.3,0.0
99,Chris Chiozza,PG,24.0,TOT,14.0,0.0,10.4,0.9,3.1,0.302,0.6,1.5,0.381,0.4,1.6,.227,0.395,0.0,0.0,0.0,0.0,1.3,1.3,2.4,0.9,0.1,0.7,0.9,2.4,PG,24.0,14.0,146,10.0,0.395,.488,.000,0.0,13.7,6.7,29.8,3.8,1.2,18.9,15.1,,-0.1,0.1,0.0,.004,,-3.8,-0.4,-4.2,-0.1
100,Chris Chiozza,PG,24.0,WAS,10.0,0.0,12.3,1.0,3.4,0.294,0.7,1.6,0.43799999999999994,0.3,1.8,.167,0.397,0.0,0.0,0.0,0.0,1.5,1.5,2.8,1.0,0.2,0.9,1.2,2.7,PG,24.0,10.0,123,9.3,0.397,.471,.000,0.0,13.8,6.6,28.4,3.8,1.4,20.9,14.5,,-0.1,0.1,0.0,-0.008,,-4.1,-0.4,-4.5,-0.1
101,Chris Chiozza,PG,24.0,BRK,4.0,0.0,5.8,0.8,2.3,0.33299999999999996,0.3,1.3,0.2,0.5,1.0,.500,0.389,0.0,0.0,0.0,0.0,0.8,0.8,1.5,0.5,0.0,0.3,0.0,1.8,PG,24.0,4.0,23,13.7,0.389,.556,.000,0.0,13.0,6.7,37.4,4.1,0.0,10.0,18.2,,0.0,0.0,0.0,.069,,-2.4,-0.2,-2.6,0.0
102,Marquese Chriss,PF,22.0,GSW,47.0,9.0,18.6,3.0,5.8,0.518,0.1,0.6,0.233,2.9,5.1,.554,0.531,1.8,2.4,0.757,1.9,3.6,5.4,1.7,0.6,1.0,1.3,1.9,7.9,PF,22.0,47.0,874,18.0,0.581,.110,.408,10.2,21.2,15.5,14.7,1.6,4.8,16.0,18.6,,1.1,0.9,2.1,.114,,-1.4,2.2,0.7,0.6
103,Gary Clark,PF,25.0,TOT,27.0,0.0,12.3,1.2,3.1,0.39299999999999996,0.9,2.6,0.33799999999999997,0.3,0.5,.692,0.536,0.2,0.3,0.857,0.9,1.7,2.5,0.5,0.1,0.4,0.1,0.9,3.6,PF,25.0,27.0,333,11.5,0.551,.845,.083,7.1,14.4,10.7,5.3,0.6,2.9,4.4,11.4,,0.5,0.3,0.8,.114,,-0.8,-0.9,-1.8,0.0
104,Gary Clark,PF,25.0,HOU,18.0,0.0,11.8,1.3,3.3,0.39,1.0,2.8,0.353,0.3,0.4,.625,0.542,0.3,0.4,0.857,0.6,1.6,2.2,0.7,0.1,0.4,0.1,1.2,3.9,PF,25.0,18.0,212,11.9,0.564,.864,.119,5.4,14.3,9.8,7.6,0.4,2.8,3.1,12.4,,0.4,0.2,0.6,.126,,0.0,-1.2,-1.1,0.0
105,Gary Clark,PF,25.0,ORL,9.0,0.0,13.4,1.1,2.8,0.4,0.7,2.2,0.3,0.4,0.6,.800,0.52,0.0,0.0,0.0,1.3,1.8,3.1,0.1,0.2,0.4,0.2,0.3,2.9,PF,25.0,9.0,121,10.8,0.52,.800,.000,10.2,14.6,12.3,1.2,0.8,3.0,7.4,9.7,,0.1,0.1,0.2,.092,,-2.4,-0.5,-2.9,0.0
106,Brandon Clarke,PF,23.0,MEM,45.0,2.0,21.8,5.0,8.1,0.62,0.4,1.1,0.408,4.6,7.0,.653,0.648,1.6,1.9,0.8240000000000001,1.4,4.4,5.7,1.5,0.5,0.8,0.9,1.6,12.1,PF,23.0,45.0,982,21.6,0.674,.134,.232,6.8,20.9,14.0,10.1,1.1,3.3,9.4,19.0,,2.8,1.0,3.8,.186,,1.8,0.7,2.5,1.1
107,Jordan Clarkson,SG,27.0,TOT,50.0,0.0,23.8,5.3,11.7,0.451,2.1,5.7,0.36700000000000005,3.2,6.1,.528,0.539,2.1,2.5,0.8320000000000001,0.7,1.7,2.4,2.0,0.6,0.3,1.2,1.3,14.7,SG,27.0,50.0,1191,17.6,0.574,.483,.213,3.1,7.9,5.5,13.5,1.3,0.9,8.6,25.4,,2.0,0.6,2.6,.105,,2.3,-3.0,-0.7,0.4
108,Jordan Clarkson,SG,27.0,CLE,29.0,0.0,23.0,5.0,11.2,0.442,2.0,5.5,0.371,2.9,5.8,.509,0.532,2.6,3.0,0.884,0.7,1.7,2.4,2.4,0.6,0.3,1.3,1.1,14.6,SG,27.0,29.0,666,18.9,0.581,.488,.264,3.5,8.0,5.7,17.2,1.2,1.0,9.7,25.9,,1.4,0.1,1.5,.108,,3.1,-3.7,-0.6,0.2
109,Jordan Clarkson,SG,27.0,UTA,21.0,0.0,25.0,5.7,12.4,0.462,2.1,5.9,0.363,3.6,6.5,.551,0.5479999999999999,1.3,1.9,0.718,0.6,1.9,2.4,1.3,0.7,0.2,1.0,1.5,14.9,SG,27.0,21.0,525,16.0,0.565,.477,.150,2.6,7.7,5.3,8.8,1.3,0.8,7.0,24.8,,0.6,0.5,1.1,.101,,1.2,-2.0,-0.8,0.2
110,Nicolas Claxton,PF,20.0,BRK,14.0,0.0,13.1,1.9,3.3,0.565,0.1,0.5,0.14300000000000002,1.8,2.8,.641,0.5760000000000001,0.6,1.4,0.474,1.4,1.7,3.1,1.1,0.1,0.6,0.6,1.0,4.4,PF,20.0,14.0,183,14.5,0.57,.152,.413,11.0,13.1,12.1,12.8,0.3,3.6,14.2,14.5,,0.3,0.2,0.5,.120,,-1.6,1.2,-0.4,0.1
111,Chris Clemons,SG,22.0,HOU,27.0,0.0,9.1,1.9,4.6,0.40299999999999997,1.2,3.4,0.355,0.6,1.1,.548,0.536,0.2,0.3,0.857,0.1,0.7,0.9,0.8,0.2,0.2,0.6,0.7,5.1,SG,22.0,27.0,245,12.7,0.547,.750,.056,1.3,8.6,4.9,13.2,1.1,1.7,11.8,24.1,,0.1,0.2,0.2,.048,,-0.7,-3.8,-4.4,-0.2
112,Antonius Cleveland,SG,25.0,DAL,5.0,0.0,4.0,0.4,1.0,0.4,0.0,0.2,0.0,0.4,0.8,.500,0.4,0.2,0.4,0.5,0.0,0.6,0.6,0.0,0.2,0.2,0.2,0.4,1.0,SG,25.0,5.0,20,5.3,0.425,.200,.400,0.0,15.4,7.8,0.0,2.4,4.2,14.5,14.7,,0.0,0.0,0.0,-0.035,,-9.1,-0.2,-9.3,0.0
113,Amir Coffey,SG,22.0,LAC,2.0,0.0,2.5,1.0,1.5,0.667,0.5,1.0,0.5,0.5,0.5,1.000,0.833,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,2.5,SG,22.0,2.0,5,35.6,0.833,.667,.000,0.0,0.0,0.0,43.2,0.0,0.0,0.0,24.8,,0.0,0.0,0.0,.441,,14.7,-12.4,2.2,0.0
114,John Collins,PF,22.0,ATL,27.0,27.0,31.5,8.1,14.6,0.5579999999999999,1.3,3.7,0.354,6.9,10.9,.627,0.603,2.5,3.1,0.807,2.6,7.7,10.3,1.2,0.7,1.7,1.8,3.7,20.1,PF,22.0,27.0,850,22.3,0.629,.251,.211,8.6,26.8,17.6,6.8,1.0,4.5,10.0,23.4,,1.8,0.9,2.7,.152,,0.9,-0.1,0.8,0.6
115,Zach Collins,PF,22.0,POR,3.0,3.0,28.7,3.0,6.3,0.474,1.0,2.3,0.429,2.0,4.0,.500,0.5529999999999999,2.0,2.0,1.0,1.3,2.7,4.0,2.0,0.0,0.7,2.0,3.7,9.0,PF,22.0,3.0,86,9.0,0.624,.368,.316,4.9,9.4,7.2,9.2,0.0,1.9,21.7,13.6,,0.1,0.0,0.1,.047,,-1.7,-1.6,-3.3,0.0
116,Mike Conley,PG,32.0,UTA,31.0,25.0,27.7,4.5,11.7,0.387,1.8,4.9,0.359,2.8,6.8,.408,0.46299999999999997,2.5,3.1,0.784,0.6,2.5,3.2,4.1,0.7,0.1,1.8,2.2,13.3,PG,32.0,31.0,860,12.9,0.508,.420,.266,2.5,9.5,6.2,22.0,1.2,0.4,12.3,23.6,,0.4,0.9,1.3,.071,,-0.3,-1.0,-1.3,0.2
117,Pat Connaughton,SG,27.0,MIL,47.0,0.0,18.0,1.9,4.3,0.45299999999999996,0.7,2.1,0.307,1.3,2.1,.600,0.53,0.4,0.5,0.72,0.8,3.5,4.3,1.6,0.3,0.6,0.8,1.0,4.9,SG,27.0,47.0,844,11.1,0.545,.502,.124,4.9,18.0,11.8,11.0,0.8,2.7,15.2,12.2,,0.6,1.6,2.1,.121,,-2.0,2.3,0.3,0.5
118,Quinn Cook,PG,26.0,LAL,33.0,0.0,11.6,2.2,4.8,0.449,0.7,1.8,0.397,1.5,3.0,.480,0.522,0.2,0.3,0.667,0.2,1.0,1.2,1.1,0.3,0.0,0.7,0.6,5.2,PG,26.0,33.0,382,11.0,0.528,.367,.057,1.8,8.9,5.4,13.7,1.2,0.2,12.4,20.5,,0.0,0.4,0.4,.047,,-2.4,-2.4,-4.8,-0.3
119,Tyler Cook,PF,22.0,CLE,11.0,0.0,3.2,0.6,0.9,0.7,0.0,0.0,0.0,0.6,0.9,.700,0.7,0.5,0.5,0.833,0.4,0.5,0.9,0.1,0.1,0.0,0.1,0.4,1.7,PF,22.0,11.0,35,24.1,0.752,.000,.600,12.6,19.1,15.8,4.5,1.4,0.0,7.3,16.7,,0.2,0.0,0.2,.244,,2.4,-3.4,-1.0,0.0
120,Robert Covington,PF,29.0,TOT,50.0,48.0,29.3,4.5,10.3,0.43700000000000006,2.3,6.5,0.34700000000000003,2.2,3.8,.593,0.547,1.5,1.9,0.7979999999999999,0.8,5.2,6.0,1.2,1.6,0.9,1.5,3.1,12.8,PF,29.0,50.0,1466,13.7,0.573,.633,.183,2.8,19.2,10.7,6.2,2.6,2.7,12.0,17.8,,0.7,1.9,2.7,.088,,-0.6,1.2,0.7,1.0
