Name,Last,First,Player_Name,GID,Date,Starter,FD_Pts,FD_Sal,Pos,Team,H/A,Oppt,Team Score,Oppt Score,Minutes,Stat line
Leonard Kawhi,Leonard,Kawhi,Kawhi Leonard,4404,20200209,,0,"9,500",PF,lac,A,cle,133,92,NA,
Labissiere Skal,Labissiere,Skal,Skal Labissiere,4979,20200209,,0,"3,500",PF,atl,H,nyk,140,135,NA,
Brazdeikis Ignas,Brazdeikis,Ignas,Ignas Brazdeikis,5876,20200209,,0,"3,500",SF,nyk,A,atl,135,140,NA,
Hoard Jaylen,Hoard,Jaylen,Jaylen Hoard,5939,20200209,,0,"3,500",SF,por,H,mia,115,109,NA,
Davis Ed,Davis,Ed,Ed Davis,4276,20200209,,0,"3,500",PF,uta,A,hou,114,113,NA,
Brantley Jarrell,Brantley,Jarrell,Jarrell Brantley,5834,20200209,,0,"3,500",SF,uta,A,hou,114,113,NA,
Embiid Joel,Embiid,Joel,Joel Embiid,4762,20200209,1,66.9,"9,300",C,phi,H,chi,118,111,30.82,28pt 12rb 5as 3st 4bl 4to 1trey 8-17fg 11-14ft
Robinson Mitchell,Robinson,Mitchell,Mitchell Robinson,5700,20200209,,46.2,"5,000",C,nyk,A,atl,135,140,35.17,15pt 11rb 3st 3bl 7-8fg 1-3ft
Drummond Andre,Drummond,Andre,Andre Drummond,4489,20200209,1,45.3,"10,300",C,cle,H,lac,92,133,28.98,19pt 14rb 3as 2st 1bl 4to 2trey 7-17fg 3-7ft
Whiteside Hassan,Whiteside,Hassan,Hassan Whiteside,4324,20200209,1,44.4,"8,300",C,por,H,mia,115,109,35.15,11pt 17rb 1st 4bl 2to 3-8fg 5-8ft
Harrell Montrezl,Harrell,Montrezl,Montrezl Harrell,4857,20200209,,36.3,"5,500",C,lac,A,cle,133,92,20.5,19pt 9rb 3as 1bl 1to 8-10fg 3-4ft
Valanciunas Jonas,Valanciunas,Jonas,Jonas Valanciunas,4497,20200209,1,35.6,"7,000",C,mem,A,was,106,99,30,8pt 18rb 2bl 4-8fg 0-2ft
Gobert Rudy,Gobert,Rudy,Rudy Gobert,4620,20200209,1,35,"7,900",C,uta,A,hou,114,113,36.93,12pt 15rb 1st 1bl 1to 3-6fg 6-8ft
Wagner Moritz,Wagner,Moritz,Moritz Wagner,5780,20200209,,31.8,"3,900",C,was,H,mem,99,106,24.08,19pt 9rb 2as 1to 1trey 7-11fg 4-6ft
Dedmon Dewayne,Dedmon,Dewayne,Dewayne Dedmon,4572,20200209,,30.6,"5,500",C,atl,H,nyk,140,135,32.68,10pt 8rb 5bl 4to 1trey 4-12fg 1-1ft
Zubac Ivica,Zubac,Ivica,Ivica Zubac,4924,20200209,1,27.8,"5,200",C,lac,A,cle,133,92,16.83,8pt 4rb 4as 1st 2bl 4-4fg
Portis Bobby,Portis,Bobby,Bobby Portis,4841,20200209,,23.2,"3,600",C,nyk,A,atl,135,140,18.78,14pt 6rb 2as 1to 2trey 5-11fg 2-2ft
Felicio Cristiano,Felicio,Cristiano,Cristiano Felicio,4845,20200209,,22.4,"3,500",C,chi,A,phi,111,118,18.8,13pt 7rb 1st 2to 5-7fg 3-4ft
Adams Steven,Adams,Steven,Steven Adams,4574,20200209,1,21.2,"4,800",C,okc,H,bos,111,112,30.03,4pt 11rb 2as 1bl 2to 2-10fg
Tucker P.J.,Tucker,P.J.,P.J. Tucker,3871,20200209,1,18.6,"4,500",C,hou,H,uta,113,114,35.9,9pt 3rb 4as 3trey 3-5fg
Kanter Enes,Kanter,Enes,Enes Kanter,4442,20200209,,16.6,"5,000",C,bos,A,okc,112,111,17.22,4pt 8rb 1st 1-3fg 2-2ft
Thompson Tristan,Thompson,Tristan,Tristan Thompson,4380,20200209,,16.2,"4,900",C,cle,H,lac,92,133,19.02,7pt 6rb 2as 1to 1trey 2-6fg 2-2ft
Mahinmi Ian,Mahinmi,Ian,Ian Mahinmi,3777,20200209,1,15.5,"4,600",C,was,H,mem,99,106,18.47,2pt 5rb 1as 2bl 0-5fg 2-4ft
Olynyk Kelly,Olynyk,Kelly,Kelly Olynyk,4583,20200209,1,13.6,"3,900",C,mia,A,por,109,115,13.12,6pt 3rb 2as 1st 2to 1trey 2-4fg 1-1ft
Jones Damian,Jones,Damian,Damian Jones,4933,20200209,1,7.8,"4,300",C,atl,H,nyk,140,135,14.62,0pt 4rb 1bl
Bradley Tony,Bradley,Tony,Tony Bradley,5166,20200209,,5.6,"3,500",C,uta,A,hou,114,113,3.88,2pt 3rb 1-1fg
Chandler Tyson,Chandler,Tyson,Tyson Chandler,3307,20200209,,0,"3,500",C,hou,H,uta,113,114,0.02,0pt
Pasecniks Anzejs,Pasecniks,Anzejs,Anzejs Pasecniks,5957,20200209,,0,"3,700",C,was,H,mem,99,106,DNP,
Dieng Gorgui,Dieng,Gorgui,Gorgui Dieng,4632,20200209,,0,"4,400",C,mem,A,was,106,99,DNP,
Poirier Vincent,Poirier,Vincent,Vincent Poirier,5843,20200209,,0,"3,500",C,bos,A,okc,112,111,DNP,
Brown Moses,Brown,Moses,Moses Brown,5936,20200209,,0,"3,500",C,por,H,mia,115,109,NA,
Alexander Kyle,Alexander,Kyle,Kyle Alexander,5909,20200209,,0,"3,500",C,mia,A,por,109,115,NA,
Bryant Thomas,Bryant,Thomas,Thomas Bryant,5217,20200209,,0,"5,100",C,was,H,mem,99,106,NA,
Zizic Ante,Zizic,Ante,Ante Zizic,5119,20200209,,0,"3,600",C,cle,H,lac,92,133,NA,
Capela Clint,Capela,Clint,Clint Capela,4766,20200209,,0,"7,400",C,atl,H,nyk,140,135,NA,
Carter Jr. Wendell,Carter,Jr. Wendell,Jr. Wendell Carter,5685,20200209,,0,"3,500",C,chi,A,phi,111,118,NA,
Fall Tacko,Fall,Tacko,Tacko Fall,5845,20200209,,0,"3,500",C,bos,A,okc,112,111,NA,
Leonard Meyers,Leonard,Meyers,Meyers Leonard,4521,20200209,,0,"3,800",C,mia,A,por,109,115,NA,
O'Quinn Kyle,O'Quinn,Kyle,Kyle O'Quinn,4529,20200209,,0,"3,700",C,phi,H,chi,118,111,NA,
Williams Robert,Williams,Robert,Robert Williams,5660,20200209,,0,"3,500",C,bos,A,okc,112,111,NA,
Newman Malik,Newman,Malik,Malik Newman,5718,20200209,,1, N/A ,NA,cle,H,lac,92,133,3.68,2pt 1to 0-2fg 2-2ft
