Name,Last,First,Player_Name,GID,Date,Starter,FD_Pts,FD_Sal,Pos,Team,H/A,Oppt,Team Score,Oppt Score,Minutes,Stat line
Arcidiacono Ryan,Arcidiacono,Ryan,Ryan Arcidiacono,4962,20200209,,9.3,"3,500",PG,chi,A,phi,111,118,19.2,5pt 4rb 1as 2to 1trey 2-4fg
Richardson Josh,Richardson,Josh,Josh Richardson,4788,20200209,,8,"4,300",SG,phi,H,chi,118,111,19.13,3pt 2as 1st 1to 1-2fg 1-4ft
Mann Terance,Mann,Terance,Terance Mann,5856,20200209,,6.9,"3,500",SG,lac,A,cle,133,92,12,0pt 2rb 1as 1st 0-2fg
Smith Jr. Dennis,Smith,Jr. Dennis,Jr. Dennis Smith,5212,20200209,,6.2,"4,000",PG,nyk,A,atl,135,140,7.82,2pt 1rb 2as 1-2fg
Exum Dante,Exum,Dante,Dante Exum,4707,20200209,,6,"3,500",PG,cle,H,lac,92,133,8.43,0pt 2as 1st 0-1fg
Graham Treveon,Graham,Treveon,Treveon Graham,4804,20200209,,4.2,"3,500",SG,atl,H,nyk,140,135,6.53,0pt 1rb 1st 0-3fg
Dort Luguentz,Dort,Luguentz,Luguentz Dort,5916,20200209,1,4.2,"3,600",SG,okc,H,bos,111,112,11.72,3pt 1rb 1trey 1-4fg
Ferguson Terrance,Ferguson,Terrance,Terrance Ferguson,5225,20200209,,3.9,"3,500",SG,okc,H,bos,111,112,26.3,0pt 2rb 1as 0-1fg
Rivers Austin,Rivers,Austin,Austin Rivers,4483,20200209,,3.7,"4,000",PG,hou,H,uta,113,114,19.08,2pt 1rb 1as 1to 0-4fg 2-2ft
Goodwin Brandon,Goodwin,Brandon,Brandon Goodwin,5727,20200209,,3,"4,100",PG,atl,H,nyk,140,135,4.38,3pt 1trey 1-3fg
Diallo Hamidou,Diallo,Hamidou,Hamidou Diallo,5737,20200209,,2.2,"3,500",SG,okc,H,bos,111,112,12.5,2pt 1rb 1to 1-2fg
Watanabe Yuta,Watanabe,Yuta,Yuta Watanabe,5753,20200209,,1.2,"3,500",SG,mem,A,was,106,99,10.13,0pt 1rb 0-1fg
Langford Romeo,Langford,Romeo,Romeo Langford,5844,20200209,,0,"3,900",SG,bos,A,okc,112,111,5.5,0pt
Burks Alec,Burks,Alec,Alec Burks,4441,20200209,,0,"4,100",SG,phi,H,chi,118,111,DNP,
Simons Anfernee,Simons,Anfernee,Anfernee Simons,5662,20200209,,0,"3,500",PG,por,H,mia,115,109,DNP,
Green Javonte,Green,Javonte,Javonte Green,5842,20200209,,0,"3,500",SG,bos,A,okc,112,111,DNP,
Clemons Chris,Clemons,Chris,Chris Clemons,5797,20200209,,0,"3,500",PG,hou,H,uta,113,114,DNP,
Tucker Rayjon,Tucker,Rayjon,Rayjon Tucker,5898,20200209,,0,"3,500",PG,uta,A,hou,114,113,DNP,
Vincent Gabe,Vincent,Gabe,Gabe Vincent,5959,20200209,,0,"3,500",PG,mia,A,por,109,115,DNP,
Burton Deonte,Burton,Deonte,Deonte Burton,5752,20200209,,0,"3,500",SG,okc,H,bos,111,112,DNP,
Dotson Damyean,Dotson,Damyean,Damyean Dotson,5222,20200209,,0,"3,500",SG,nyk,A,atl,135,140,DNP,
Neto Raul,Neto,Raul,Raul Neto,4807,20200209,,0,"3,500",PG,phi,H,chi,118,111,DNP,
Oni Miye,Oni,Miye,Miye Oni,5836,20200209,,0,"3,500",SG,uta,A,hou,114,113,DNP,
Mokoka Adam,Mokoka,Adam,Adam Mokoka,5893,20200209,,0,"3,500",SG,chi,A,phi,111,118,DNP,
Guduric Marko,Guduric,Marko,Marko Guduric,5838,20200209,,0,"3,500",SG,mem,A,was,106,99,DNP,
Brown Charlie,Brown,Charlie,Charlie Brown,5882,20200209,,0,"3,500",SG,atl,H,nyk,140,135,DNP,
Mudiay Emmanuel,Mudiay,Emmanuel,Emmanuel Mudiay,4773,20200209,,0,"3,500",PG,uta,A,hou,114,113,DNP,
Payton Gary,Payton,Gary,Gary Payton,4976,20200209,,0,"3,500",SG,was,H,mem,99,106,DNP,
Dellavedova Matthew,Dellavedova,Matthew,Matthew Dellavedova,4610,20200209,,0,"3,500",PG,cle,H,lac,92,133,DNP,
Trier Allonzo,Trier,Allonzo,Allonzo Trier,5701,20200209,,0,"3,500",SG,nyk,A,atl,135,140,NA,
Beverley Patrick,Beverley,Patrick,Patrick Beverley,4234,20200209,,0,"4,800",PG,lac,A,cle,133,92,NA,
Edwards Carsen,Edwards,Carsen,Carsen Edwards,5848,20200209,,0,"3,500",PG,bos,A,okc,112,111,NA,
Mooney Matthew,Mooney,Matthew,Matthew Mooney,5840,20200209,,0,"3,500",PG,cle,H,lac,92,133,NA,
Allen Grayson,Allen,Grayson,Grayson Allen,5677,20200209,,0,"3,500",SG,mem,A,was,106,99,NA,
Roberson Andre,Roberson,Andre,Andre Roberson,4559,20200209,,0,"3,500",SG,okc,H,bos,111,112,NA,
Williams-Goss Nigel,Williams-Goss,Nigel,Nigel Williams-Goss,5833,20200209,,0,"3,500",PG,uta,A,hou,114,113,NA,
Butler Jimmy,Butler,Jimmy,Jimmy Butler,4363,20200209,,0,"7,800",SG,mia,A,por,109,115,NA,
Windler Dylan,Windler,Dylan,Dylan Windler,5859,20200209,,0,"3,500",SG,cle,H,lac,92,133,NA,
Dunn Kris,Dunn,Kris,Kris Dunn,4945,20200209,,0,"4,000",PG,chi,A,phi,111,118,NA,
Herro Tyler,Herro,Tyler,Tyler Herro,5914,20200209,,0,"3,900",SG,mia,A,por,109,115,NA,
Konchar John,Konchar,John,John Konchar,5839,20200209,,0,"3,500",SG,mem,A,was,106,99,NA,
Wright-Foreman Justin,Wright-Foreman,Justin,Justin Wright-Foreman,5830,20200209,,0,"3,500",PG,uta,A,hou,114,113,NA,
Allen Kadeem,Allen,Kadeem,Kadeem Allen,5113,20200209,,0,"3,500",SG,nyk,A,atl,135,140,NA,
Mathews Garrison,Mathews,Garrison,Garrison Mathews,5872,20200209,,0,"3,500",SG,was,H,mem,99,106,NA,
Shayok Marial,Shayok,Marial,Marial Shayok,5905,20200209,,0,"3,500",SG,phi,H,chi,118,111,NA,
Smith Zhaire,Smith,Zhaire,Zhaire Smith,5779,20200209,,0,"3,500",SG,phi,H,chi,118,111,NA,
Bembry DeAndre,Bembry,DeAndre,DeAndre Bembry,5001,20200209,,0,"3,500",SG,atl,H,nyk,140,135,NA,
Waters Tremont,Waters,Tremont,Tremont Waters,5849,20200209,,0,"3,500",PG,bos,A,okc,112,111,NA,
Randle Julius,Randle,Julius,Julius Randle,4680,20200209,1,61.1,"8,200",PF,nyk,A,atl,135,140,46.2,35pt 18rb 3as 1st 1bl 6to 13-25fg 9-12ft
Collins John,Collins,John,John Collins,5134,20200209,1,58.7,"7,800",PF,atl,H,nyk,140,135,49.88,32pt 16rb 3as 1bl 1trey 12-19fg 7-9ft
Hunter De'Andre,Hunter,De'Andre,De'Andre Hunter,5879,20200209,1,46.3,"4,100",SF,atl,H,nyk,140,135,47.88,19pt 9rb 1as 5st 3trey 7-15fg 2-3ft
Ariza Trevor,Ariza,Trevor,Trevor Ariza,3621,20200209,1,45.3,"4,200",SF,por,H,mia,115,109,39.5,21pt 4rb 5as 3st 1bl 2trey 7-10fg 5-5ft
Adebayo Bam,Adebayo,Bam,Bam Adebayo,5159,20200209,1,43.9,"8,000",PF,mia,A,por,109,115,35.12,13pt 12rb 7as 3bl 3to 6-14fg 1-2ft
Crowder Jae,Crowder,Jae,Jae Crowder,4472,20200209,,43.7,"4,500",SF,mia,A,por,109,115,34.92,18pt 11rb 3as 2st 1bl 1to 5trey 6-11fg 1-2ft
