Name,GID,Team,Opp,Home,NewGameFDP,LastFDP,AvgFDP,AvgPTS,LastPT,AvgMIN,LastMIN,AvgFGM,LastFGM,AvgFGA,LastFGA,Avg3PTS,Last3PTS,AvgREB,LastREB,AvgAST,LastAST,AvgSTL,AvgTOV,LastTOV,Date,Last3GameAvgFDP,Last3GameAvgMIN,Last3GameAvgPTS,position,Rank,TeamStdFDP,TeamAvgFDP,TeamMaxFDP
LeBron James,3541,lal,uta,1,57.4,41.8,41.8,18.0,18,36.0,36.0,7.0,7,19.0,19,1.0,1,9.0,9,8.0,8,1.0,5.0,5,2019-10-24,41.8,36.0,18.0,SF,top,18.293523444104476,32.76,50.5
Jahlil Okafor,4836,nor,dal,1,7.6,12.4,12.4,8.0,8,12.48333333,12.48333333,3.0,3,3.0,3,0.0,0,2.0,2,0.0,0,0.0,1.0,1,2019-10-24,12.4,12.48333333,8.0,C,belowAvg,8.951739292653487,21.918181818181814,42.5
Kent Bazemore,4507,por,sac,0,31.1,21.4,21.4,4.0,4,24.53333333,24.53333333,1.0,1,7.0,7,0.0,0,2.0,2,0.0,0,5.0,0.0,0,2019-10-24,21.4,24.53333333,4.0,SF,average,13.354007780794639,25.75714285714286,48.8
Noah Vonleh,4761,min,cha,0,13.5,13.3,13.3,2.0,2,14.36666667,14.36666667,1.0,1,3.0,3,0.0,0,4.0,4,1.0,1,2.0,1.0,1,2019-10-24,13.3,14.36666667,2.0,PF,belowAvg,17.766760475049406,26.94444444444445,72.3
Jeff Green,3992,uta,lal,0,10.1,10.9,10.9,5.0,5,16.56666667,16.56666667,1.0,1,4.0,4,1.0,1,2.0,2,1.0,1,0.0,1.0,1,2019-10-24,10.9,16.56666667,5.0,PF,belowAvg,12.817024268960054,21.788888888888888,52.9
Chris Paul,3786,okc,was,1,9.4,38.1,38.1,22.0,22,30.11666667,30.11666667,7.0,7,15.0,15,4.0,4,8.0,8,3.0,3,1.0,1.0,1,2019-10-24,38.1,30.11666667,22.0,PG,advanced,10.006640652229756,24.457142857142852,38.1
C.J. McCollum,4657,por,sac,0,26.9,18.1,18.1,12.0,12,35.83333333,35.83333333,5.0,5,18.0,18,2.0,2,3.0,3,3.0,3,1.0,5.0,5,2019-10-24,18.1,35.83333333,12.0,SG,belowAvg,13.354007780794639,25.75714285714286,48.8
Wendell Carter Jr.,5685,chi,mem,0,23.4,24.8,24.8,12.0,12,29.41666667,29.41666667,5.0,5,11.0,11,0.0,0,9.0,9,0.0,0,0.0,1.0,1,2019-10-24,24.8,29.41666667,12.0,C,average,13.88583553738948,30.375,60.4
Nemanja Bjelica,4875,sac,por,1,19.9,17.8,17.8,5.0,5,20.66666667,20.66666667,2.0,2,6.0,6,1.0,1,4.0,4,2.0,2,2.0,1.0,1,2019-10-24,17.8,20.66666667,5.0,SF,belowAvg,8.0460578930957,20.728571428571428,32.0
Lauri Markkanen,5227,chi,mem,0,24.7,60.4,60.4,35.0,35,34.36666667,34.36666667,0.0,0,0.0,0,1.0,1,17.0,17,2.0,2,1.0,1.0,1,2019-10-24,60.4,34.36666667,35.0,PF,top,13.88583553738948,30.375,60.4
Lonzo Ball,5215,nor,dal,1,36.1,20.5,20.5,8.0,8,24.83333333,24.83333333,2.0,2,7.0,7,2.0,2,5.0,5,5.0,5,0.0,1.0,1,2019-10-24,20.5,24.83333333,8.0,PG,average,8.951739292653487,21.918181818181814,42.5
Rudy Gobert,4620,uta,lal,0,26.3,22.8,22.8,7.0,7,37.91666667,37.91666667,3.0,3,6.0,6,0.0,0,14.0,14,0.0,0,0.0,4.0,4,2019-10-24,22.8,37.91666667,7.0,C,average,12.817024268960054,21.788888888888888,52.9
Andrew Wiggins,4704,min,cha,0,28.8,29.6,29.6,21.0,21,36.21666667,36.21666667,0.0,0,0.0,0,0.0,0,8.0,8,0.0,0,0.0,1.0,1,2019-10-24,29.6,36.21666667,21.0,SG,average,17.766760475049406,26.94444444444445,72.3
De'Aaron Fox,5132,sac,por,1,39.7,11.7,11.7,8.0,8,26.55,26.55,3.0,3,7.0,7,0.0,0,1.0,1,5.0,5,0.0,5.0,5,2019-10-24,11.7,26.55,8.0,PG,belowAvg,8.0460578930957,20.728571428571428,32.0
Moritz Wagner,5780,was,okc,0,16.4,10.4,10.4,13.0,13,16.63333333,16.63333333,4.0,4,5.0,5,3.0,3,2.0,2,0.0,0,0.0,5.0,5,2019-10-24,10.4,16.63333333,13.0,C,belowAvg,10.661899976604131,22.488888888888887,46.7
Joe Ingles,4701,uta,lal,0,9.6,12.3,12.3,7.0,7,32.65,32.65,3.0,3,8.0,8,1.0,1,4.0,4,1.0,1,0.0,1.0,1,2019-10-24,12.3,32.65,7.0,SF,belowAvg,12.817024268960054,21.788888888888888,52.9
Gordon Hayward,4285,bos,tor,1,24.6,33.0,33.0,25.0,25,35.18333333,35.18333333,8.0,8,15.0,15,0.0,0,5.0,5,2.0,2,0.0,1.0,1,2019-10-24,33.0,35.18333333,25.0,SF,advanced,8.930232226490395,23.128571428571423,38.0
Robert Covington,4570,min,cha,0,17.3,23.8,23.8,15.0,15,32.7,32.7,6.0,6,11.0,11,3.0,3,9.0,9,0.0,0,0.0,2.0,2,2019-10-24,23.8,32.7,15.0,PF,average,17.766760475049406,26.94444444444445,72.3
Marcus Morris,4407,nyk,bkn,0,15.4,40.3,40.3,26.0,26,39.25,39.25,9.0,9,18.0,18,3.0,3,4.0,4,1.0,1,3.0,1.0,1,2019-10-24,40.3,39.25,26.0,PF,top,12.568956466893608,35.966666666666654,55.2
Tyler Johnson,4756,pho,den,0,9.2,22.4,22.4,10.0,10,16.63333333,16.63333333,4.0,4,8.0,8,2.0,2,2.0,2,2.0,2,2.0,2.0,2,2019-10-24,22.4,16.63333333,10.0,PG,average,12.453312812260034,29.266666666666666,46.2
Spencer Dinwiddie,4760,bkn,nyk,1,30.9,15.6,15.6,14.0,14,18.55,18.55,6.0,6,13.0,13,1.0,1,3.0,3,2.0,2,0.0,5.0,5,2019-10-24,15.6,18.55,14.0,PG,belowAvg,19.868937230427466,37.333333333333336,73.1
Royce O'Neale,5182,uta,lal,0,9.6,22.0,22.0,14.0,14,30.11666667,30.11666667,6.0,6,6.0,6,2.0,2,5.0,5,0.0,0,1.0,1.0,1,2019-10-24,22.0,30.11666667,14.0,SF,average,12.817024268960054,21.788888888888888,52.9
