,Player,Pos_x,Age_x,Tm_x,G_x,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos_y,Age_y,Tm_y,G_y,MP_y,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
13,Thanasis Antetokounmpo,SF,27.0,MIL,15.0,1.0,4.1,0.9,1.5,0.565,0.0,0.2,0.0,0.9,1.3,.650,0.565,0.3,0.6,.444,0.4,0.1,0.5,0.4,0.1,0.1,0.3,0.6,2.0,SF,27.0,MIL,15.0,61,13.8,0.556,.130,.391,10.4,1.5,5.7,14.1,1.5,1.4,15.6,21.7,,0.1,0.1,0.1,.107,,-1.7,-1.3,-3.0,0.0
14,Carmelo Anthony,PF,35.0,POR,33.0,33.0,32.5,6.1,14.1,0.429,1.4,3.8,0.37,4.6,10.3,.451,0.48,2.3,2.7,.833,1.2,5.4,6.7,1.6,0.9,0.5,1.8,3.1,15.8,PF,35.0,POR,33.0,1073,12.9,0.516,.273,.193,4.0,16.9,10.5,7.2,1.4,1.4,10.8,22.3,,0.0,0.7,0.8,.034,,-2.1,-1.0,-3.1,-0.3
15,OG Anunoby,SF,22.0,TOR,48.0,47.0,29.2,4.2,8.5,0.489,1.3,3.5,0.365,2.9,5.0,.577,0.565,0.8,1.2,.649,1.1,4.3,5.4,1.6,1.1,0.7,1.2,2.4,10.4,SF,22.0,TOR,48.0,1400,12.4,0.575,.416,.139,3.9,15.3,9.7,8.1,1.7,2.3,11.8,15.0,,1.0,2.3,3.3,.114,,-1.0,2.2,1.3,1.1
16,Ryan Arcidiacono,PG,25.0,CHI,47.0,0.0,14.4,1.3,3.3,0.39399999999999996,0.8,2.0,0.4,0.5,1.3,.383,0.516,0.4,0.6,.731,0.3,1.3,1.6,1.5,0.4,0.1,0.5,1.7,3.8,PG,25.0,CHI,47.0,679,8.4,0.5379999999999999,.613,.168,2.2,10.4,6.1,14.6,1.3,0.4,12.6,12.0,,0.5,0.6,1.0,.074,,-2.1,-0.9,-3.1,-0.2
17,Trevor Ariza,SF,34.0,TOT,36.0,4.0,26.0,2.3,5.6,0.41600000000000004,1.4,3.9,0.364,0.9,1.7,.532,0.542,0.7,0.9,.774,0.6,3.9,4.6,1.6,1.2,0.2,0.9,2.1,6.8,SF,34.0,TOT,36.0,936,10.3,0.563,.693,.153,2.7,17.4,9.8,8.2,2.3,0.8,12.9,11.5,,0.6,0.9,1.5,.078,,-0.9,1.0,0.1,0.5
18,D.J. Augustin,PG,32.0,ORL,39.0,6.0,26.0,3.3,8.4,0.39299999999999996,1.2,3.5,0.34600000000000003,2.1,4.9,.426,0.465,2.9,3.3,.877,0.4,2.1,2.4,4.7,0.7,0.0,1.4,1.1,10.7,PG,32.0,ORL,39.0,1013,14.5,0.544,.417,.399,1.5,8.7,4.9,27.2,1.3,0.1,12.4,18.7,,1.5,0.9,2.4,.112,,0.1,-2.0,-1.9,0.0
19,Deandre Ayton,C,21.0,PHO,18.0,13.0,32.7,7.8,14.6,0.5379999999999999,0.0,0.1,0.0,7.8,14.5,.540,0.5379999999999999,2.1,2.6,.826,3.6,8.0,11.6,1.8,0.7,1.5,1.6,2.9,17.8,C,21.0,PHO,18.0,589,20.2,0.5670000000000001,.004,.176,11.7,27.5,19.5,9.2,1.0,3.9,9.3,22.4,,0.9,0.8,1.7,.140,,-1.3,1.5,0.2,0.3
20,Dwayne Bacon,SG,24.0,CHO,36.0,10.0,17.9,2.4,6.6,0.359,0.5,1.8,0.28800000000000003,1.8,4.8,.386,0.39899999999999997,0.9,1.4,.647,0.4,2.1,2.4,1.4,0.6,0.1,0.9,1.4,6.2,SG,24.0,CHO,36.0,644,6.7,0.428,.278,.215,2.3,13.1,7.4,11.9,1.7,0.3,11.3,19.8,,-1.0,0.3,-0.6,-0.046,,-5.7,-1.8,-7.4,-0.9
21,Marvin Bagley,PF,20.0,SAC,13.0,6.0,25.7,6.0,12.8,0.467,0.3,1.7,0.182,5.7,11.2,.510,0.479,1.9,2.4,.806,2.2,5.2,7.5,0.8,0.5,0.9,1.4,3.3,14.2,PF,20.0,SAC,13.0,334,16.0,0.512,.132,.186,9.5,23.7,16.4,5.1,0.9,3.4,9.1,25.9,,0.1,0.3,0.4,.059,,-4.0,-1.6,-5.6,-0.3
22,Lonzo Ball,PG,22.0,NOP,41.0,32.0,31.4,4.5,11.4,0.392,2.3,6.5,0.36200000000000004,2.1,4.9,.431,0.495,0.7,1.2,.540,1.2,4.7,5.9,6.7,1.3,0.4,2.9,1.9,11.9,PG,22.0,NOP,41.0,1287,13.0,0.5,.567,.107,4.0,15.9,9.9,29.2,1.9,1.0,19.3,19.4,,0.3,1.0,1.3,.047,,0.0,0.2,0.3,0.7
