,Player,Pos_x,Age_x,Tm_x,G_x,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Pos_y,Age_y,Tm_y,G_y,MP_y,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
55,Avery Bradley,SG,29.0,LAL,33.0,28.0,23.0,3.2,7.2,0.445,0.7,2.6,0.282,2.5,4.6,.536,0.496,0.3,0.4,.786,0.5,1.8,2.2,1.1,0.8,0.1,1.0,2.3,7.5,SG,29.0,LAL,33.0,760,7.3,0.506,.357,.059,2.2,8.3,5.3,6.3,1.8,0.2,12.2,15.5,,-0.3,0.8,0.6,.035,,-2.9,-0.5,-3.4,-0.3
56,Tony Bradley,C,22.0,UTA,36.0,2.0,10.3,1.9,3.0,0.642,0.0,0.0,0.0,1.9,3.0,.642,0.642,0.5,0.9,.613,1.6,2.6,4.2,0.3,0.3,0.4,0.5,2.1,4.4,C,22.0,UTA,36.0,372,19.9,0.648,.000,.284,17.8,26.0,22.1,3.7,1.3,3.3,12.8,16.5,,1.0,0.7,1.7,.221,,0.0,0.9,0.9,0.3
57,Jarrell Brantley,PF,23.0,UTA,2.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,2.0,2.0,0.5,0.0,1.0,0.5,0.5,0.0,PF,23.0,UTA,2.0,9,10.2,0.0,,,0.0,46.2,24.2,13.3,0.0,18.4,100.0,4.9,,0.0,0.0,0.0,.062,,-11.7,15.2,3.5,0.0
58,Ignas Brazdeikis,SF,21.0,NYK,9.0,0.0,5.9,0.7,2.4,0.273,0.1,1.0,0.111,0.6,1.4,.385,0.295,0.4,0.6,.800,0.2,0.3,0.6,0.4,0.0,0.1,0.2,0.3,1.9,SF,21.0,NYK,9.0,53,3.4,0.35100000000000003,.409,.227,3.8,6.2,4.9,10.8,0.0,1.8,7.6,20.9,,-0.1,0.0,-0.1,-0.113,,-6.5,-4.1,-10.7,-0.1
59,Mikal Bridges,SF,23.0,PHO,48.0,7.0,24.5,2.8,5.4,0.506,0.6,1.9,0.312,2.1,3.5,.613,0.561,1.4,1.7,.813,0.9,3.0,3.9,1.5,1.4,0.5,0.9,2.1,7.5,SF,23.0,PHO,48.0,1176,12.4,0.604,.356,.307,3.8,13.9,8.7,8.3,2.6,1.7,12.9,12.3,,1.3,1.4,2.7,.109,,-0.8,2.1,1.3,1.0
60,Miles Bridges,SF,21.0,CHO,48.0,47.0,30.1,4.7,10.7,0.439,1.5,4.2,0.34700000000000003,3.2,6.5,.498,0.507,1.4,1.7,.813,1.3,4.0,5.4,1.8,0.6,0.7,1.6,2.1,12.2,SF,21.0,CHO,48.0,1443,11.9,0.534,.394,.156,4.6,15.3,9.7,9.6,1.0,2.2,12.2,18.9,,0.3,0.8,1.1,.037,,-1.9,-0.5,-2.3,-0.1
61,Oshae Brissett,SF,21.0,TOR,15.0,0.0,7.8,0.7,2.1,0.355,0.2,0.9,0.231,0.5,1.2,.444,0.40299999999999997,0.3,0.4,.833,0.5,0.9,1.4,0.3,0.2,0.1,0.4,1.1,2.0,SF,21.0,TOR,15.0,117,5.2,0.446,.419,.194,7.3,11.4,9.4,4.6,1.2,0.8,15.1,14.5,,-0.1,0.2,0.1,.024,,-4.9,-0.5,-5.5,-0.1
62,Ryan Broekhoff,SG,29.0,DAL,12.0,1.0,8.8,1.3,3.0,0.444,1.2,2.4,0.483,0.2,0.6,.286,0.639,0.4,0.5,.833,0.1,1.6,1.7,0.3,0.2,0.2,0.3,0.8,4.3,SG,29.0,DAL,12.0,105,15.0,0.66,.806,.167,1.0,18.6,9.9,5.4,0.9,1.6,9.4,17.3,,0.2,0.1,0.3,.137,,1.1,-2.3,-1.2,0.0
63,Malcolm Brogdon,PG,27.0,IND,34.0,34.0,30.3,6.1,13.9,0.444,1.4,4.1,0.341,4.8,9.8,.486,0.494,3.3,3.6,.911,0.7,3.7,4.4,7.4,0.8,0.2,2.5,1.8,17.0,PG,27.0,IND,34.0,1030,19.2,0.55,.293,.263,2.7,13.4,8.1,36.1,1.3,0.5,14.1,26.1,,1.8,1.0,2.8,.133,,2.5,-0.8,1.7,1.0
64,Dillon Brooks,SG,24.0,MEM,49.0,49.0,28.3,5.8,13.7,0.423,2.2,5.4,0.4,3.6,8.3,.437,0.501,2.4,2.8,.842,1.0,2.3,3.3,2.0,1.0,0.4,1.7,3.7,16.1,SG,24.0,MEM,49.0,1385,13.1,0.539,.394,.207,3.8,8.8,6.3,10.5,1.6,1.3,10.1,24.6,,0.7,0.8,1.4,.049,,-0.3,-2.1,-2.3,-0.1
65,Bruce Brown,SG,23.0,DET,47.0,36.0,26.9,3.3,7.3,0.449,0.6,1.6,0.33799999999999997,2.7,5.7,.481,0.48700000000000004,1.5,2.1,.697,0.9,3.2,4.2,3.9,1.1,0.5,1.7,2.7,8.6,SG,23.0,DET,47.0,1265,12.1,0.521,.223,.287,3.9,13.5,8.7,20.4,2.1,1.6,17.1,16.0,,0.6,1.1,1.7,.065,,-1.6,1.1,-0.6,0.5
66,Charlie Brown,SG,22.0,ATL,8.0,0.0,4.6,0.6,2.1,0.294,0.4,1.0,0.375,0.3,1.1,.222,0.382,0.6,0.6,1.000,0.3,0.3,0.5,0.3,0.3,0.3,0.3,0.3,2.3,SG,22.0,ATL,8.0,37,12.8,0.469,.471,.294,5.7,5.9,5.8,7.8,2.5,4.5,9.4,23.7,,0.0,0.0,0.0,.014,,-3.3,-1.4,-4.7,0.0
67,Jaylen Brown,SF,23.0,BOS,39.0,39.0,33.5,7.3,14.7,0.494,2.1,5.4,0.392,5.2,9.4,.552,0.565,3.4,4.5,.754,1.1,5.5,6.6,2.4,1.2,0.3,2.4,3.0,20.1,SF,23.0,BOS,39.0,1305,17.7,0.6,.363,.304,3.6,17.4,10.5,11.1,1.7,0.8,12.5,24.3,,1.9,1.9,3.8,.141,,1.4,-0.1,1.3,1.1
68,Moses Brown,C,20.0,POR,7.0,0.0,3.3,0.6,1.3,0.444,0.0,0.0,0.0,0.6,1.3,.444,0.444,0.3,0.6,.500,0.4,1.1,1.6,0.0,0.1,0.0,0.4,0.7,1.4,C,20.0,POR,7.0,23,8.9,0.465,.000,.444,13.6,35.2,24.5,0.0,2.1,0.0,21.8,25.3,,-0.1,0.0,0.0,-0.055,,-11.8,-7.2,-19.1,-0.1
69,Sterling Brown,SF,24.0,MIL,33.0,0.0,15.1,1.8,4.8,0.373,0.8,2.5,0.33299999999999996,1.0,2.3,.416,0.45899999999999996,0.7,0.9,.767,0.7,3.3,3.9,1.0,0.6,0.1,0.9,1.1,5.1,SF,24.0,MIL,33.0,497,9.8,0.491,.513,.190,4.7,20.2,12.9,8.1,1.7,0.7,14.5,16.7,,-0.2,1.0,0.8,.075,,-3.5,0.8,-2.7,-0.1
70,Troy Brown,SG,20.0,WAS,44.0,14.0,26.2,4.1,8.8,0.466,0.8,2.4,0.35200000000000004,3.3,6.4,.509,0.514,1.6,2.0,.767,1.2,4.7,5.9,2.2,1.3,0.1,1.1,1.9,10.6,SG,20.0,WAS,44.0,1154,14.4,0.547,.271,.232,4.7,20.5,12.3,11.3,2.3,0.3,10.1,17.1,,1.2,0.5,1.7,.071,,-0.5,-0.6,-1.1,0.3
71,Jalen Brunson,PG,23.0,DAL,48.0,8.0,16.9,3.0,6.4,0.46399999999999997,0.7,2.0,0.34,2.3,4.4,.522,0.518,1.0,1.2,.793,0.4,1.9,2.4,3.1,0.4,0.1,1.1,1.3,7.6,PG,23.0,DAL,48.0,813,15.4,0.547,.317,.190,2.6,11.8,7.3,26.9,1.3,0.4,13.3,20.1,,1.4,0.5,1.9,.112,,0.2,-1.8,-1.6,0.1
72,Thomas Bryant,C,22.0,WAS,27.0,23.0,25.3,5.2,9.0,0.58,0.5,1.6,0.326,4.7,7.4,.635,0.609,1.8,2.4,.766,2.0,5.3,7.3,2.3,0.4,0.9,1.5,2.3,12.8,C,22.0,WAS,27.0,684,19.3,0.636,.177,.263,8.3,23.9,15.8,13.2,0.7,2.9,13.1,18.9,,1.6,0.2,1.8,.127,,1.2,-0.4,0.8,0.5
73,Reggie Bullock,SG,28.0,NYK,15.0,12.0,25.1,3.9,9.3,0.41700000000000004,1.5,4.7,0.32899999999999996,2.3,4.6,.507,0.5,0.5,0.6,.778,0.5,1.5,2.1,1.3,1.2,0.0,0.5,2.3,9.7,SG,28.0,NYK,15.0,376,10.8,0.511,.504,.065,2.1,6.7,4.3,7.7,2.3,0.0,4.7,16.9,,0.2,0.2,0.4,.050,,-0.4,-1.9,-2.3,0.0
74,Trey Burke,PG,27.0,PHI,23.0,0.0,13.6,2.5,5.3,0.479,0.7,1.6,0.444,1.8,3.7,.494,0.545,0.6,0.8,.722,0.6,0.9,1.5,2.2,0.3,0.0,0.5,0.8,6.3,PG,27.0,PHI,23.0,312,16.4,0.562,.298,.149,5.0,7.0,6.0,24.3,1.1,0.3,8.5,19.5,,0.7,0.3,1.0,.151,,1.0,-2.4,-1.4,0.0
75,Alec Burks,SG,28.0,GSW,46.0,18.0,29.1,5.0,12.5,0.402,1.7,4.5,0.364,3.4,7.9,.425,0.469,4.1,4.6,.896,0.8,4.0,4.8,3.2,1.0,0.3,1.6,2.3,15.8,SG,28.0,GSW,46.0,1337,15.9,0.545,.364,.369,2.8,15.2,8.8,17.8,1.7,1.0,9.7,23.5,,1.6,0.9,2.4,.087,,0.3,-1.3,-0.9,0.4
76,Deonte Burton,SG,26.0,OKC,30.0,0.0,8.5,1.1,3.1,0.366,0.2,1.3,0.179,0.9,1.8,.500,0.40299999999999997,0.2,0.4,.500,0.2,1.1,1.3,0.3,0.1,0.3,0.3,0.9,2.7,SG,26.0,OKC,30.0,254,5.8,0.41200000000000003,.419,.129,2.3,14.3,8.5,5.7,0.8,3.0,8.4,18.6,,-0.5,0.3,-0.2,-0.038,,-6.2,-0.9,-7.1,-0.3
77,Jimmy Butler,SF,30.0,MIA,41.0,41.0,34.8,5.9,13.3,0.441,0.6,2.6,0.245,5.2,10.7,.489,0.465,7.9,9.5,.835,1.9,5.0,6.9,6.4,1.8,0.6,2.3,1.4,20.2,SF,30.0,MIA,41.0,1427,23.7,0.581,.195,.713,6.6,15.1,11.1,28.7,2.5,1.6,11.7,25.0,,4.8,2.0,6.8,.229,,3.5,1.8,5.4,2.6
78,Bruno Caboclo,SF,24.0,MEM,22.0,0.0,8.7,1.3,3.1,0.406,0.2,1.1,0.16,1.1,2.0,.545,0.435,0.1,0.1,.667,0.8,1.2,2.0,0.5,0.5,0.5,0.3,1.0,2.8,SF,24.0,MEM,22.0,192,11.9,0.441,.362,.043,9.6,14.8,12.2,7.0,2.4,5.4,9.1,16.8,,-0.1,0.2,0.2,.042,,-3.1,1.9,-1.2,0.0
79,Kentavious Caldwell-Pope,SG,26.0,LAL,47.0,20.0,25.6,3.5,7.4,0.47,1.5,3.4,0.429,2.0,4.0,.505,0.569,1.3,1.6,.811,0.6,1.6,2.2,1.8,0.8,0.2,0.9,1.9,9.7,SG,26.0,LAL,47.0,1204,12.0,0.599,.464,.213,2.8,6.6,4.7,9.3,1.4,0.7,9.7,14.8,,1.8,1.2,3.0,.118,,0.6,-0.7,0.0,0.6
80,Vlatko Čančar,SF,22.0,DEN,9.0,0.0,1.8,0.2,0.6,0.4,0.1,0.3,0.33299999999999996,0.1,0.2,.500,0.5,0.2,0.2,1.000,0.1,0.2,0.3,0.3,0.1,0.0,0.1,0.1,0.8,SF,22.0,DEN,9.0,16,20.0,0.595,.600,.400,6.8,13.8,10.3,25.7,3.1,0.0,14.5,18.5,,0.0,0.0,0.1,.206,,2.8,-0.5,2.3,0.0
81,Clint Capela,C,25.0,HOU,39.0,39.0,32.8,6.3,9.9,0.629,0.0,0.0,0.0,6.3,9.9,.629,0.629,1.4,2.7,.529,4.3,9.5,13.8,1.2,0.8,1.8,1.6,2.6,13.9,C,25.0,HOU,39.0,1279,20.8,0.626,.000,.268,13.6,30.0,21.8,5.6,1.2,4.8,12.7,15.9,,2.9,2.0,5.0,.187,,-0.8,2.4,1.6,1.1
82,DeMarre Carroll,SF,33.0,SAS,15.0,0.0,9.0,0.6,1.9,0.31,0.2,0.9,0.231,0.4,1.1,.375,0.36200000000000004,0.8,1.3,.600,0.5,1.6,2.1,0.7,0.1,0.1,0.7,1.3,2.2,SF,33.0,SAS,15.0,135,5.1,0.43700000000000006,.448,.690,5.6,18.7,12.2,10.1,0.7,1.3,20.9,15.3,,-0.2,0.1,-0.1,-0.032,,-5.0,-1.1,-6.1,-0.1
83,Jevon Carter,PG,24.0,PHO,33.0,2.0,13.4,1.3,3.4,0.381,0.8,1.9,0.40299999999999997,0.5,1.5,.353,0.491,0.3,0.3,.818,0.4,1.3,1.7,1.4,0.7,0.3,0.7,1.5,3.6,PG,24.0,PHO,33.0,442,9.4,0.509,.549,.097,3.2,11.2,7.1,14.1,2.6,1.9,16.9,13.6,,0.0,0.5,0.5,.052,,-2.4,1.2,-1.2,0.1
84,Vince Carter,SF,43.0,ATL,42.0,0.0,15.2,1.8,5.3,0.345,1.0,3.6,0.289,0.8,1.7,.465,0.444,0.5,0.6,.760,0.2,1.9,2.1,1.0,0.4,0.5,0.6,1.6,5.2,SF,43.0,ATL,42.0,639,7.5,0.46399999999999997,.682,.112,1.5,13.4,7.4,8.8,1.2,2.5,9.7,16.8,,-0.5,0.3,-0.1,-0.011,,-3.5,-1.3,-4.9,-0.5
85,Wendell Carter,C,20.0,CHI,37.0,37.0,30.0,4.5,8.4,0.537,0.2,0.8,0.214,4.3,7.6,.569,0.547,2.6,3.5,.736,3.5,6.4,9.9,1.2,0.8,0.9,1.7,3.8,11.7,C,20.0,CHI,37.0,1109,16.2,0.5920000000000001,.091,.417,12.3,24.2,18.0,6.0,1.3,2.8,14.5,16.5,,1.7,1.6,3.3,.142,,-1.6,1.5,-0.1,0.5
86,Michael Carter-Williams,SG,28.0,ORL,25.0,0.0,16.7,2.3,5.6,0.41100000000000003,0.4,1.5,0.243,2.0,4.2,.471,0.44299999999999995,1.3,1.8,.750,0.9,2.2,3.1,2.2,1.0,0.4,0.9,1.6,6.3,SG,28.0,ORL,25.0,417,14.7,0.493,.262,.312,5.6,14.2,9.7,20.1,2.8,2.2,12.5,19.0,,0.2,0.7,0.8,.096,,-1.7,2.0,0.3,0.2
87,Alex Caruso,PG,25.0,LAL,44.0,0.0,18.7,1.8,4.5,0.402,0.6,1.9,0.341,1.2,2.7,.444,0.47200000000000003,1.1,1.4,.800,0.2,1.7,1.9,1.8,1.0,0.3,0.9,1.6,5.4,PG,25.0,LAL,44.0,821,10.0,0.524,.412,.302,1.4,9.6,5.6,12.0,2.7,1.4,14.4,13.6,,0.3,1.2,1.5,.086,,-2.0,1.3,-0.7,0.3
88,Willie Cauley-Stein,C,26.0,TOT,43.0,37.0,22.4,3.4,6.1,0.5589999999999999,0.0,0.0,0.0,3.4,6.1,.559,0.5589999999999999,0.8,1.3,.614,1.7,4.4,6.1,1.5,1.1,1.2,0.8,2.5,7.7,C,26.0,TOT,43.0,964,16.4,0.5710000000000001,.000,.217,7.9,21.8,14.6,10.2,2.3,4.8,11.1,14.3,,1.1,1.3,2.4,.119,,-2.2,3.3,1.2,0.8
89,Tyson Chandler,C,37.0,HOU,25.0,5.0,8.8,0.6,0.7,0.778,0.0,0.0,0.0,0.6,0.7,.778,0.778,0.2,0.5,.462,1.0,1.6,2.6,0.2,0.2,0.3,0.3,1.3,1.4,C,37.0,HOU,25.0,219,10.8,0.7170000000000001,.000,.722,11.8,19.5,15.6,3.5,1.3,3.1,25.2,5.9,,0.3,0.3,0.6,.128,,-2.3,1.4,-0.8,0.1
90,Wilson Chandler,SF,32.0,BRK,19.0,0.0,20.5,2.5,5.4,0.456,1.0,3.2,0.317,1.5,2.3,.651,0.5489999999999999,0.6,0.7,.857,0.3,4.2,4.5,1.1,0.6,0.4,1.2,2.2,6.6,SF,32.0,BRK,19.0,389,9.4,0.573,.583,.136,1.6,20.4,11.2,7.7,1.5,1.5,17.4,14.2,,0.0,0.5,0.5,.062,,-3.3,1.0,-2.3,0.0
91,Zylan Cheatham,SF,24.0,NOP,3.0,0.0,10.3,0.7,1.7,0.4,0.0,0.3,0.0,0.7,1.3,.500,0.4,0.0,0.0,,0.3,1.7,2.0,0.7,0.0,0.3,1.0,1.7,1.3,SF,24.0,NOP,3.0,31,0.2,0.4,.200,.000,3.4,17.3,10.2,8.0,0.0,2.7,37.5,10.6,,-0.1,0.0,-0.1,-0.088,,-8.6,0.3,-8.3,0.0
92,Chris Chiozza,PG,24.0,TOT,12.0,0.0,11.3,0.8,3.2,0.263,0.6,1.5,0.389,0.3,1.7,.150,0.355,0.0,0.0,,0.0,1.4,1.4,2.5,0.9,0.2,0.8,1.0,2.3,PG,24.0,TOT,12.0,135,8.3,0.355,.474,.000,0.0,14.1,6.8,27.7,3.8,1.3,19.1,14.4,,-0.2,0.1,-0.1,-0.025,,-4.7,-0.2,-4.9,-0.1
93,Marquese Chriss,PF,22.0,GSW,44.0,6.0,18.1,2.9,5.6,0.52,0.1,0.6,0.231,2.8,5.0,.555,0.5329999999999999,1.8,2.4,.755,1.8,3.5,5.3,1.8,0.6,0.9,1.3,1.9,7.8,PF,22.0,GSW,44.0,795,18.1,0.584,.106,.431,10.5,21.5,15.8,15.5,1.7,4.3,16.5,18.8,,1.1,0.9,1.9,.117,,-1.2,2.1,0.9,0.6
94,Gary Clark,PF,25.0,TOT,23.0,0.0,12.2,1.3,3.3,0.413,1.0,2.7,0.355,0.4,0.6,.692,0.56,0.3,0.3,.857,0.8,1.7,2.5,0.5,0.1,0.4,0.2,1.0,3.9,PF,25.0,TOT,23.0,281,12.2,0.5760000000000001,.827,.093,6.9,14.6,10.8,5.7,0.3,2.8,4.9,12.1,,0.5,0.2,0.7,.124,,-0.4,-1.8,-2.2,0.0
95,Brandon Clarke,PF,23.0,MEM,42.0,2.0,21.7,5.1,8.1,0.626,0.4,1.1,0.4,4.7,7.1,.660,0.652,1.5,1.9,.833,1.3,4.4,5.8,1.5,0.5,0.9,0.9,1.7,12.2,PF,23.0,MEM,42.0,912,21.9,0.679,.132,.228,6.6,21.5,14.2,10.3,1.1,3.4,9.4,19.0,,2.7,0.9,3.5,.187,,1.9,0.6,2.5,1.0
96,Jordan Clarkson,SG,27.0,TOT,47.0,0.0,23.9,5.3,11.7,0.449,2.1,5.7,0.36200000000000004,3.2,6.0,.532,0.537,2.2,2.6,.829,0.7,1.8,2.5,2.0,0.6,0.3,1.2,1.3,14.8,SG,27.0,TOT,47.0,1125,17.9,0.573,.486,.223,3.3,8.0,5.7,14.0,1.3,1.0,8.6,25.4,,2.0,0.6,2.6,.110,,2.5,-2.8,-0.3,0.5
97,Nicolas Claxton,PF,20.0,BRK,14.0,0.0,13.1,1.9,3.3,0.565,0.1,0.5,0.14300000000000002,1.8,2.8,.641,0.5760000000000001,0.6,1.4,.474,1.4,1.7,3.1,1.1,0.1,0.6,0.6,1.0,4.4,PF,20.0,BRK,14.0,183,14.6,0.57,.152,.413,10.9,13.2,12.1,12.9,0.3,3.6,14.2,14.5,,0.3,0.2,0.4,.115,,-1.6,1.0,-0.6,0.1
98,Chris Clemons,SG,22.0,HOU,26.0,0.0,8.9,1.9,4.5,0.419,1.3,3.5,0.36700000000000005,0.6,1.0,.593,0.56,0.2,0.2,.800,0.1,0.7,0.8,0.7,0.2,0.2,0.6,0.8,5.2,SG,22.0,HOU,26.0,231,13.6,0.5660000000000001,.769,.043,0.9,8.5,4.7,12.7,1.2,1.8,11.8,24.0,,0.1,0.2,0.3,.064,,0.0,-3.7,-3.7,-0.1
99,Antonius Cleveland,SG,25.0,DAL,3.0,0.0,4.7,0.7,1.0,0.667,0.0,0.3,0.0,0.7,0.7,1.000,0.667,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.3,0.0,1.3,SG,25.0,DAL,3.0,14,7.4,0.667,.333,.000,0.0,22.0,11.2,0.0,0.0,0.0,25.0,12.2,,0.0,0.0,0.0,-0.005,,-6.9,-4.7,-11.6,0.0
100,Amir Coffey,SG,22.0,LAC,2.0,0.0,2.5,1.0,1.5,0.667,0.5,1.0,0.5,0.5,0.5,1.000,0.833,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,2.5,SG,22.0,LAC,2.0,5,35.7,0.833,.667,.000,0.0,0.0,0.0,43.4,0.0,0.0,0.0,24.7,,0.0,0.0,0.0,.443,,14.7,-12.5,2.2,0.0
101,John Collins,PF,22.0,ATL,23.0,23.0,30.4,7.7,14.1,0.5489999999999999,1.3,3.7,0.337,6.5,10.3,.626,0.594,2.3,2.8,.813,2.4,7.7,10.2,1.2,0.7,1.8,1.7,3.9,19.0,PF,22.0,ATL,23.0,700,21.9,0.62,.265,.198,8.5,27.7,18.0,6.7,1.1,5.0,10.0,23.1,,1.4,0.8,2.2,.148,,0.4,0.2,0.6,0.5
102,Zach Collins,PF,22.0,POR,3.0,3.0,28.7,3.0,6.3,0.474,1.0,2.3,0.429,2.0,4.0,.500,0.5529999999999999,2.0,2.0,1.000,1.3,2.7,4.0,2.0,0.0,0.7,2.0,3.7,9.0,PF,22.0,POR,3.0,86,9.0,0.624,.368,.316,4.8,9.4,7.2,9.2,0.0,2.0,21.7,13.6,,0.1,0.0,0.1,.048,,-1.8,-1.5,-3.3,0.0
103,Mike Conley,PG,32.0,UTA,28.0,22.0,27.3,4.3,11.4,0.377,1.6,4.7,0.33299999999999996,2.7,6.6,.409,0.447,2.4,3.1,.782,0.6,2.4,3.0,4.1,0.7,0.1,1.9,2.2,12.6,PG,32.0,UTA,28.0,764,11.8,0.494,.415,.274,2.4,9.1,5.9,22.0,1.2,0.4,12.9,23.4,,0.1,0.8,0.9,.055,,-0.9,-1.0,-2.0,0.0
104,Pat Connaughton,SG,27.0,MIL,44.0,0.0,17.8,1.9,4.3,0.441,0.7,2.2,0.299,1.2,2.1,.593,0.519,0.4,0.6,.720,0.8,3.5,4.3,1.6,0.3,0.5,0.8,1.0,4.8,SG,27.0,MIL,44.0,781,11.0,0.535,.516,.133,4.6,18.5,12.0,11.3,0.8,2.6,15.0,12.4,,0.5,1.4,1.9,.116,,-2.1,2.2,0.1,0.4
105,Quinn Cook,PG,26.0,LAL,31.0,0.0,12.1,2.2,5.0,0.44799999999999995,0.7,1.8,0.39299999999999996,1.5,3.2,.480,0.519,0.2,0.3,.667,0.2,1.0,1.2,1.2,0.3,0.0,0.7,0.6,5.4,PG,26.0,LAL,31.0,374,11.1,0.525,.364,.058,1.8,8.8,5.4,14.1,1.3,0.2,12.2,20.4,,0.0,0.4,0.4,.050,,-2.3,-2.3,-4.6,-0.3
106,Tyler Cook,PF,22.0,CLE,11.0,0.0,3.2,0.6,0.9,0.7,0.0,0.0,0.0,0.6,0.9,.700,0.7,0.5,0.5,.833,0.4,0.5,0.9,0.1,0.1,0.0,0.1,0.4,1.7,PF,22.0,CLE,11.0,35,24.2,0.752,.000,.600,12.5,19.0,15.8,4.6,1.4,0.0,7.3,16.6,,0.2,0.0,0.2,.247,,2.5,-3.2,-0.7,0.0
107,Robert Covington,PF,29.0,MIN,46.0,45.0,29.3,4.5,10.3,0.43700000000000006,2.3,6.5,0.348,2.2,3.8,.589,0.546,1.5,1.9,.795,0.7,5.2,6.0,1.2,1.6,0.9,1.5,3.1,12.8,PF,29.0,MIN,46.0,1346,13.6,0.573,.631,.186,2.5,19.3,10.6,6.0,2.6,2.6,12.0,17.9,,0.6,1.8,2.4,.087,,-0.7,1.3,0.6,0.9
108,Allen Crabbe,SG,27.0,TOT,32.0,1.0,18.3,1.8,5.0,0.36,1.0,3.3,0.311,0.8,1.7,.455,0.46299999999999997,0.3,0.4,.714,0.3,1.9,2.2,1.0,0.5,0.1,0.5,1.3,5.0,SG,27.0,TOT,32.0,585,6.6,0.47600000000000003,.658,.087,1.8,11.3,6.5,7.3,1.2,0.6,8.2,12.9,,-0.1,0.2,0.0,.004,,-3.1,-1.8,-4.9,-0.4
109,Torrey Craig,SF,29.0,DEN,36.0,14.0,16.5,1.8,4.0,0.441,0.5,1.9,0.271,1.3,2.1,.600,0.507,0.4,0.6,.652,0.9,2.0,2.9,0.6,0.4,0.7,0.4,2.2,4.5,SF,29.0,DEN,36.0,593,9.7,0.522,.483,.159,6.0,13.2,9.6,5.2,1.2,3.7,9.4,12.4,,0.3,0.7,1.1,.085,,-2.1,1.1,-0.9,0.2
110,Jae Crowder,SF,29.0,MEM,44.0,44.0,29.5,3.3,9.0,0.368,1.8,6.0,0.297,1.5,3.0,.511,0.467,1.7,2.2,.789,0.9,5.3,6.2,2.8,1.1,0.3,1.2,1.9,10.1,SF,29.0,MEM,44.0,1297,11.1,0.508,.668,.241,3.3,18.9,11.2,12.0,1.7,0.9,11.0,15.8,,0.5,1.1,1.6,.057,,-0.4,0.3,-0.1,0.6
111,Jarrett Culver,SG,20.0,MIN,46.0,32.0,24.7,3.7,9.6,0.389,1.0,3.8,0.27699999999999997,2.7,5.8,.461,0.44299999999999995,0.9,2.0,.456,1.2,2.4,3.6,1.9,1.0,0.7,1.3,2.0,9.4,SG,20.0,MIN,46.0,1138,9.6,0.45,.391,.204,4.9,10.3,7.5,11.6,1.9,2.3,11.4,19.8,,-1.1,1.0,-0.1,-0.006,,-3.4,0.2,-3.2,-0.3
112,Seth Curry,SG,29.0,DAL,46.0,13.0,23.0,3.8,8.2,0.467,1.9,4.7,0.405,1.9,3.5,.550,0.583,1.2,1.4,.877,0.5,1.6,2.0,1.8,0.5,0.2,0.9,1.6,10.7,SG,29.0,DAL,46.0,1057,14.3,0.612,.573,.173,2.1,7.1,4.6,11.3,1.2,0.6,9.4,18.0,,2.1,0.5,2.6,.117,,1.9,-2.2,-0.3,0.5
113,Stephen Curry,PG,31.0,GSW,4.0,4.0,28.0,6.8,16.5,0.409,2.3,9.3,0.243,4.5,7.3,.621,0.47700000000000004,4.5,4.5,1.000,1.0,4.0,5.0,6.5,1.3,0.5,3.8,2.5,20.3,PG,31.0,GSW,4.0,112,20.5,0.5479999999999999,.561,.273,3.7,15.8,9.5,42.5,2.1,1.6,16.9,33.8,,0.1,0.1,0.2,.073,,4.5,-1.2,3.3,0.1
114,Troy Daniels,SG,28.0,LAL,35.0,0.0,11.8,1.6,4.1,0.401,1.0,2.8,0.371,0.6,1.3,.467,0.528,0.3,0.4,.692,0.3,0.9,1.2,0.4,0.2,0.1,0.2,0.7,4.5,SG,28.0,LAL,35.0,414,9.7,0.5379999999999999,.683,.092,3.0,7.7,5.4,4.5,0.9,0.6,5.1,15.9,,0.3,0.4,0.7,.080,,-0.6,-2.6,-3.2,-0.1
115,Anthony Davis,PF,26.0,LAL,40.0,40.0,34.7,9.3,18.2,0.509,1.1,3.6,0.315,8.2,14.7,.556,0.54,7.1,8.2,.862,2.1,7.2,9.3,3.3,1.5,2.5,2.4,2.5,26.7,PF,26.0,LAL,40.0,1388,28.3,0.612,.196,.449,6.8,22.1,14.6,15.1,2.1,6.4,10.0,29.6,,4.7,2.9,7.6,.262,,3.4,3.7,7.1,3.2
