,variable,value
0,x0,0.0
1,x1,0.0
2,x10,0.0
3,x100,0.0
4,x101,0.0
5,x102,0.0
6,x103,0.0
7,x104,0.0
8,x105,0.0
9,x106,0.0
10,x107,0.0
11,x108,0.0
12,x109,0.0
13,x11,0.0
14,x110,0.0
15,x111,0.0
16,x112,0.0
17,x113,0.0
18,x114,0.0
19,x115,0.0
20,x116,0.0
21,x117,0.0
22,x118,0.0
23,x119,0.0
24,x12,0.0
25,x120,0.0
26,x121,0.0
27,x122,0.0
28,x123,0.0
29,x124,0.0
30,x125,0.0
31,x126,0.0
32,x127,0.0
33,x128,0.0
34,x129,0.0
35,x13,0.0
36,x130,1.0
37,x131,0.0
38,x132,0.0
39,x133,1.0
40,x134,0.0
41,x135,0.0
42,x136,0.0
43,x137,0.0
44,x138,0.0
45,x139,0.0
46,x14,0.0
47,x140,0.0
48,x141,0.0
49,x142,0.0
50,x143,0.0
51,x144,0.0
52,x145,0.0
53,x146,0.0
54,x147,0.0
55,x148,0.0
56,x149,0.0
57,x15,0.0
58,x150,0.0
59,x151,0.0
60,x152,0.0
61,x153,0.0
62,x154,0.0
63,x155,0.0
64,x156,0.0
65,x157,0.0
66,x158,0.0
67,x159,0.0
68,x16,0.0
69,x160,0.0
70,x161,0.0
71,x162,0.0
72,x163,0.0
73,x164,0.0
74,x165,0.0
75,x166,0.0
76,x167,0.0
77,x168,0.0
78,x169,0.0
79,x17,0.0
80,x170,0.0
81,x171,0.0
82,x172,0.0
83,x173,0.0
84,x174,0.0
85,x175,0.0
86,x176,0.0
87,x177,0.0
88,x178,0.0
89,x179,0.0
90,x18,0.0
91,x180,0.0
92,x181,0.0
93,x182,0.0
94,x183,0.0
95,x184,0.0
96,x185,0.0
97,x186,0.0
98,x187,0.0
99,x188,0.0
100,x189,0.0
101,x19,0.0
102,x190,0.0
103,x191,0.0
104,x192,0.0
105,x193,0.0
106,x194,0.0
107,x195,0.0
108,x196,0.0
109,x197,0.0
110,x198,0.0
111,x199,0.0
112,x2,0.0
113,x20,0.0
114,x200,0.0
115,x201,0.0
116,x202,0.0
117,x203,0.0
118,x204,0.0
119,x205,0.0
120,x206,0.0
121,x207,0.0
122,x208,0.0
123,x209,0.0
124,x21,0.0
125,x210,0.0
126,x211,0.0
127,x212,0.0
128,x213,0.0
129,x214,0.0
130,x215,0.0
131,x216,0.0
132,x217,0.0
133,x218,0.0
134,x219,0.0
135,x22,0.0
136,x220,0.0
137,x221,0.0
138,x222,0.0
139,x223,0.0
140,x224,0.0
141,x225,0.0
142,x226,0.0
143,x227,0.0
144,x228,0.0
145,x229,0.0
146,x23,0.0
147,x230,0.0
148,x231,0.0
149,x232,0.0
150,x233,0.0
151,x234,0.0
152,x235,0.0
153,x236,0.0
154,x237,0.0
155,x238,0.0
156,x239,0.0
157,x24,0.0
158,x240,0.0
159,x241,0.0
160,x242,0.0
161,x243,0.0
162,x244,0.0
163,x245,0.0
164,x246,0.0
165,x247,0.0
166,x248,0.0
167,x249,0.0
168,x25,0.0
169,x250,0.0
170,x251,0.0
171,x252,0.0
172,x253,0.0
173,x254,0.0
174,x255,0.0
175,x256,0.0
176,x257,0.0
177,x258,0.0
178,x259,0.0
179,x26,0.0
180,x260,0.0
181,x261,0.0
182,x262,0.0
183,x263,0.0
184,x264,0.0
185,x265,0.0
186,x266,0.0
187,x267,0.0
188,x268,0.0
189,x269,0.0
190,x27,0.0
191,x270,0.0
192,x271,0.0
193,x272,0.0
194,x273,0.0
195,x274,0.0
196,x275,0.0
197,x276,0.0
198,x277,0.0
199,x278,0.0
200,x279,0.0
201,x28,0.0
202,x280,0.0
203,x281,0.0
204,x282,0.0
205,x283,0.0
206,x284,0.0
207,x285,0.0
208,x286,0.0
209,x287,0.0
210,x288,0.0
211,x289,0.0
212,x29,0.0
213,x290,0.0
214,x291,1.0
215,x292,0.0
216,x293,0.0
217,x294,0.0
218,x295,0.0
219,x296,0.0
220,x297,0.0
221,x298,0.0
222,x299,0.0
223,x3,0.0
224,x30,0.0
225,x300,0.0
226,x301,0.0
227,x302,0.0
228,x303,0.0
229,x304,0.0
230,x305,0.0
231,x306,0.0
232,x307,0.0
233,x308,0.0
234,x309,0.0
235,x31,0.0
236,x310,0.0
237,x311,0.0
238,x312,0.0
239,x313,0.0
240,x314,0.0
241,x315,0.0
242,x316,0.0
243,x317,0.0
244,x318,0.0
245,x319,0.0
246,x32,0.0
247,x320,0.0
248,x321,0.0
249,x322,0.0
250,x323,0.0
251,x324,0.0
252,x325,0.0
253,x326,0.0
254,x327,0.0
255,x328,0.0
256,x329,0.0
257,x33,0.0
258,x330,0.0
259,x331,0.0
260,x332,0.0
261,x333,0.0
262,x334,0.0
263,x335,0.0
264,x336,0.0
265,x337,0.0
266,x338,0.0
267,x339,0.0
268,x34,0.0
269,x340,0.0
270,x341,0.0
271,x342,0.0
272,x343,0.0
273,x344,0.0
274,x345,0.0
275,x346,0.0
276,x347,0.0
277,x348,0.0
278,x349,0.0
279,x35,0.0
280,x350,1.0
281,x351,0.0
282,x352,0.0
283,x353,0.0
284,x354,1.0
285,x355,0.0
286,x356,0.0
287,x357,0.0
288,x358,0.0
289,x359,0.0
290,x36,0.0
291,x360,0.0
292,x361,0.0
293,x362,0.0
294,x363,0.0
295,x364,0.0
296,x365,0.0
297,x366,0.0
298,x367,0.0
299,x368,0.0
300,x369,1.0
301,x37,0.0
302,x370,0.0
303,x371,0.0
304,x372,0.0
305,x373,0.0
306,x374,0.0
307,x375,0.0
308,x376,0.0
309,x377,0.0
310,x378,0.0
311,x379,0.0
312,x38,0.0
313,x380,0.0
314,x381,0.0
315,x382,0.0
316,x383,0.0
317,x384,0.0
318,x385,0.0
319,x386,0.0
320,x387,0.0
321,x388,0.0
322,x389,0.0
323,x39,1.0
324,x390,0.0
325,x391,0.0
326,x392,0.0
327,x393,0.0
328,x394,0.0
329,x395,0.0
330,x396,0.0
331,x397,0.0
332,x398,0.0
333,x399,0.0
334,x4,0.0
335,x40,0.0
336,x400,0.0
337,x401,0.0
338,x402,0.0
339,x403,0.0
340,x404,0.0
341,x405,0.0
342,x406,0.0
343,x407,0.0
344,x408,0.0
345,x409,0.0
346,x41,0.0
347,x410,0.0
348,x411,0.0
349,x412,0.0
350,x413,0.0
351,x414,0.0
352,x415,0.0
353,x416,0.0
354,x417,0.0
355,x418,0.0
356,x419,0.0
357,x42,0.0
358,x420,0.0
359,x421,0.0
360,x422,0.0
361,x423,0.0
362,x424,0.0
363,x425,0.0
364,x426,0.0
365,x427,0.0
366,x428,0.0
367,x429,0.0
368,x43,0.0
369,x430,0.0
370,x431,0.0
371,x432,0.0
372,x433,0.0
373,x434,0.0
374,x435,0.0
375,x436,0.0
376,x437,0.0
377,x438,0.0
378,x439,0.0
379,x44,0.0
380,x440,0.0
381,x441,0.0
382,x442,0.0
383,x443,0.0
384,x444,0.0
385,x445,0.0
386,x446,0.0
387,x447,0.0
388,x448,0.0
389,x449,0.0
390,x45,0.0
391,x450,0.0
392,x451,0.0
393,x452,0.0
394,x453,0.0
395,x454,0.0
396,x455,0.0
397,x456,0.0
398,x457,0.0
399,x458,0.0
400,x459,0.0
401,x46,1.0
402,x460,0.0
403,x461,0.0
404,x462,0.0
405,x463,0.0
406,x464,0.0
407,x465,0.0
408,x466,0.0
409,x467,0.0
410,x468,0.0
411,x469,0.0
412,x47,0.0
413,x470,0.0
414,x471,0.0
415,x472,0.0
416,x473,0.0
417,x474,0.0
418,x475,0.0
419,x476,0.0
420,x477,0.0
421,x478,0.0
422,x479,0.0
423,x48,0.0
424,x480,0.0
425,x481,0.0
426,x482,0.0
427,x483,0.0
428,x484,0.0
429,x485,0.0
430,x486,0.0
431,x487,0.0
432,x488,0.0
433,x489,0.0
434,x49,0.0
435,x490,0.0
436,x491,0.0
437,x492,0.0
438,x493,0.0
439,x494,0.0
440,x495,0.0
441,x496,0.0
442,x497,0.0
443,x5,0.0
444,x50,0.0
445,x51,0.0
446,x52,0.0
447,x53,0.0
448,x54,0.0
449,x55,0.0
450,x56,0.0
451,x57,0.0
452,x58,0.0
453,x59,0.0
454,x6,0.0
455,x60,0.0
456,x61,0.0
457,x62,0.0
458,x63,0.0
459,x64,0.0
460,x65,0.0
461,x66,0.0
462,x67,0.0
463,x68,0.0
464,x69,0.0
465,x7,0.0
466,x70,0.0
467,x71,0.0
468,x72,0.0
469,x73,0.0
470,x74,0.0
471,x75,0.0
