Player_Name,FD_pos,position,FD_Sal,PFDP,Last_FDP,Rank,pt,rb,as,st,bl,to,trey,FGM,FGA,FTM,FTA
Seth_Curry,1,PG,4800,0.01,25.2,average,10.89130435,2.152173913,1.847826087,0.543478261,0.152173913,0.913043478,1.956521739,3.608695652,7.913043478,1.239130435,1.413043478
Spencer_Dinwiddie,2,SG,7100,6.5,37.8,advanced,21.45833333,3.291666667,6.458333333,0.6875,0.333333333,2.854166667,2,4.5625,11.52083333,4.25,5.645833333
Stanley_Johnson,3,SF,3500,11.56,6.9,benchPlayer,1.235294118,1.058823529,0.352941176,0.176470588,0.117647059,0.470588235,0.117647059,0.470588235,1.647058824,0.176470588,0.235294118
Stephen_Curry,1,PG,9600,13.3,29,average,20.25,5,6.5,1.25,0.5,3.75,2.25,6.75,16.5,4.5,4.5
Terance_Mann,2,SG,3500,11.68,1.2,benchPlayer,1.766666667,0.966666667,1.066666667,0.2,0.166666667,0.466666667,0.066666667,0.7,1.633333333,0.3,0.4
Thabo_Sefolosha,3,SF,3500,7.16,21.1,average,2.272727273,2.333333333,0.666666667,0.484848485,0.242424242,0.333333333,0.424242424,0.909090909,2.181818182,0.03030303,0.181818182
Thanasis_Antetokounmpo,3,SF,3500,3.82,7,benchPlayer,2,0.466666667,0.4,0.133333333,0.066666667,0.333333333,0,0.866666667,1.533333333,0.266666667,0.6
Tim_Frazier,1,PG,3600,3.2,-1,benchPlayer,3.592592593,1.222222222,3.444444444,0.518518519,0.111111111,1.333333333,0.37037037,1.259259259,3.481481481,0.703703704,0.888888889
Tim_Hardaway_Jr.,3,SF,4900,4.77,9.7,benchPlayer,14,2.888888889,1.688888889,0.577777778,0.088888889,0.911111111,2.644444444,4,9.866666667,1.533333333,1.933333333
Timothe_Luwawu,2,SG,3500,14.21,4,benchPlayer,4.916666667,2.041666667,0.583333333,0.416666667,0.041666667,0.791666667,0.791666667,1.625,3.708333333,0.875,1.125
Tobias_Harris,3,SF,6800,7.15,19.7,belowAvg,19.26,6.74,2.92,0.76,0.58,1.6,1.74,4.58,10.64,2.56,3.18
Tomas_Satoransky,1,PG,5400,1.85,20.5,average,10.13461538,3.692307692,5.307692308,1.326923077,0.134615385,1.961538462,1.057692308,3.5,8.057692308,1.692307692,1.923076923
Tony_Bradley,5,C,3500,4.55,4,benchPlayer,4.416666667,4.194444444,0.25,0.277777778,0.416666667,0.5,0,1.944444444,3.027777778,0.527777778,0.861111111
Trae_Young,1,PG,9900,17.24,16.7,belowAvg,29.04444444,4.6,9.044444444,1.133333333,0.111111111,4.777777778,3.377777778,3.488888889,9.644444444,3.866666667,4.688888889
Trey_Lyles,4,PF,3700,13.36,19,belowAvg,4.833333333,5.6875,1.104166667,0.291666667,0.333333333,0.604166667,0.75,1.854166667,4.5,0.375,0.583333333
Tyler_Johnson,1,PG,3700,3.48,2.7,benchPlayer,5.741935484,1.677419355,1.612903226,0.387096774,0.258064516,0.774193548,0.774193548,2.096774194,5.516129032,0.774193548,1.032258065
Victor_Oladipo,2,SG,5500,3.49,12.9,belowAvg,8,2,2.5,0.5,0,1.5,1,2,11,3,3
Vince_Carter,3,SF,3900,1.76,19,belowAvg,5.279069767,2.162790698,0.930232558,0.395348837,0.465116279,0.581395349,1.023255814,1.88372093,5.465116279,0.488372093,0.627906977
Vincent_Poirier,5,C,3500,10.9,4.6,benchPlayer,1.75,1.875,0.3125,0.125,0.375,0.3125,0.0625,0.6875,1.625,0.3125,0.375
Wayne_Ellington,2,SG,3500,11.41,6.2,benchPlayer,3.958333333,1.625,0.958333333,0.375,0.083333333,0.583333333,1.041666667,1.333333333,4.208333333,0.25,0.333333333
Wendell_Carter_Jr.,5,C,5800,4.8,17.2,belowAvg,11.7027027,9.864864865,1.189189189,0.810810811,0.891891892,1.675675676,0.162162162,4.486486486,8.351351351,2.567567568,3.486486486
Wenyen_Gabriel,4,PF,3500,10.36,2,benchPlayer,1.461538462,0.846153846,0.307692308,0.307692308,0.230769231,0.461538462,0.076923077,0.461538462,1.538461538,0.461538462,0.769230769
Yuta_Watanabe,2,SG,3500,3.46,0,benchPlayer,1.166666667,0.833333333,0,0,0.166666667,0.166666667,0.166666667,0.5,1,0,0.333333333
Zach_Collins,4,PF,5300,7.58,13.1,belowAvg,9,4,2,0,0.666666667,2,1,3,6.333333333,2,2
Zach_Norvell_Jr.,2,SG,3500,3.89,0,benchPlayer,0,0.5,0,0,0,0,0,0,0.5,0,0
Zion_Williamson,4,PF,6500,10.02,37.5,advanced,19.5,8.166666667,1.666666667,0.5,0.333333333,2.333333333,0.666666667,8,13,2.833333333,5.333333333
